NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR,manufacturer,part_type,model_series,numbering_guide,location
8,CN15-8C-436CA5UA,BUMPER FINISHER MOULDING LOWER,Ford,ECOSPORT,CN15-8C-436CA5UA,1,3.079646549,5.611770582,0.507419618,2013,2016,,,,,
9,EN15-8C-436BA5UA2,BUMPER FINISHER MOULDING MIDDLE,Ford,ECOSPORT,EN1Z-84-19BA,1,0.063446353,0.363342297,0.01574367,2013,2016,,,,,
10,FDB066 NA,REAR BUMPER,Ford,ECOSPORT,CN15-17K835-DCW,1,10.55661991,0.836770121,0.029613378,2013,2016,,,,,
11,FDS066 LA,SIDE BUMPER REAR LH,Ford,ECOSPORT,CN15-17E783-ABW,1,10.83864784,2.020041328,0.243006425,2013,2016,,,,,
,FDS066 RA,SIDE BUMPER REAR RH,Ford,ECOSPORT,CN15-17W782-ABW,1,7.890828354,37.70807511,0.175233691,2013,2016,,,,,
12,CN15-13-W030EB,H/LAMP & FLSR ASY L*,Ford,ECOSPORT,CN15-13-W030EB,1,10.12868717,10.16436915,0.797557784,2013,2016,,,,,
,CN15-13-W029EB,H/LAMP & FLSR ASY R*,Ford,ECOSPORT,CN15-13-W029EB,1,5.232164638,10.02428705,0.877755881,2013,2016,,,,,
13,FDHL065 LA,HEAD LAMP RH,Ford,ECOSPORT,CN15-13-W030EB,1,8.244705633,12.19337103,0.234958381,2013,2016,,,,,
,FDHL065 RA,HEAD LAMP LH,Ford,ECOSPORT,CN15-13-W029EB,1,2.011798035,8.822611128,1.519303063,2013,2016,,,,,
14,CN15-13-W029EC,HEAD LAMP ASSY RH,Ford,ECOSPORT,CN1Z-13-008W,1,0.743127184,0.928721504,0.086170279,2014,2016,,,,,
15,FDFC065 LA,FOG LAMP COVER W/O HOLE LH,Ford,ECOSPORT,CN15-15A299-BBW,1,3.545763325,24.78093822,0.243169682,2013,2016,,,,,
,FDFC065 RA,FOG LAMP COVER W/O HOLE RH,Ford,ECOSPORT,CN15-15A298-BBW,1,1.181476097,20.49749741,0.158956094,2013,2016,,,,,
1,FDFC065 LB,FOG LAMP COVER WITH HOLE LH,Ford,ECOSPORT,CN15-15-A299CA5ZCT,1,0.084424699,0.099627285,0.004210681,2013,2016,,,,,
,FDFC065 RB,FOG LAMP COVER WITH HOLE RH,Ford,ECOSPORT,CN15-15-A298CA5ZCT,1,0.079275929,0.094009319,0.004037443,2013,2016,,,,,
2,2N11-15-201AB,FOG LAMP ASY- FRT,Ford,ECOSPORT,2N11-15-201AB,1,19.85813306,8.746245838,0.578751793,2013,2016,,,,,
3,CN15-15-B217BA5SM3,FOG LAMP COVER MOULDING(CP) LH,Ford,ECOSPORT,CN15-15-B217BA5SM3,1,1.326364839,10.43266416,0.109342659,2013,2016,,,,,
,CN15-15-B216BA5SM3,FOG LAMP COVER MOULDING(CP) RH,Ford,ECOSPORT,CN15-15-B216BA5SM3,1,10.56423416,3.550744728,0.23957817,2013,2016,,,,,
4,CN15-13-405BA,TAIL LAMP ASSY LH,Ford,ECOSPORT,CN15-13-405BA,1,0.502080624,0.811749548,0.016686729,2013,2016,,,,,
,CN15-13-404BA,TAIL LAMP ASSY RH,Ford,ECOSPORT,CN15-13-404BA,1,0.497958027,0.656423318,0.016476187,2013,2016,,,,,
5,FDL065 LA,TAIL LAMP LH,Ford,ECOSPORT,CN15-13-405BB,1,0.880535325,0.964036267,0.002787269,2013,2016,,,,,
,FDL065 RA,TAIL LAMP RH,Ford,ECOSPORT,CN15-13-404BB,1,0.6283303,0.975978988,0.003148979,2013,2016,,,,,
6,FDMR065 LA,DOOR MIRROR LH,Ford,ECOSPORT,9I4I-SIZ36-W7,1,4.816582921,23.17494671,0.303708776,2013,2016,,,,,
,FDMR065 RA,DOOR MIRROR RH,Ford,ECOSPORT,0QDT-RXG5M-JN,1,21.93496914,7.53929717,2.467366358,2013,2016,,,,,
7,PCN1-5N-16612CA,HOOD ASSY,Ford,ECOSPORT,PCN1-5N-16612CA,1,14.71870009,24.79085903,0.550381322,2013,2016,,,,,
8,FDIF065 LA,INNER FENDER LH,Ford,ECOSPORT,CN15-16115-AB,20,14.44643351,14.0351673,0.05090451,2013,2016,,,,,
