NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR,manufacturer,part_type,model_series,numbering_guide,location
7,FDDT115 R LA,DOOR CLADING REAR LH,Ford,TAURUS,AG1Z-5425557-AA,10,0.030953411,10.01102697,12.94494266,2010,2019,,,,,
,FDDT115 R RA,DOOR CLADING REAR RH,Ford,TAURUS,AG1Z-5425556-AA,10,0.030273722,10.31531368,11.02473528,2010,2019,,,,,
1,FDB119 NA,FRONT BUMPER,Ford,TAURUS,KK1Z-177BA,1,0.408394038,18.64422702,0.619144577,2020,2023,,,,,
1,FDB095 LA,FRONT BUMPER LOWER WITH FINISHER,Ford,TOURNEO CONNECT,DT11-17F775,1,7.923997105,11.53977331,0.062609267,2014,2015,,,,,
2,FDB095 UA,FRONT BUMPER UPPER,Ford,TOURNEO CONNECT,DT11-17757-A,1,3.694820459,13.30614882,0.062543803,2014,2015,,,,,
3,FDB096 NA,REAR BUMPER,Ford,TOURNEO CONNECT,DT11-17F775,1,8.938658604,1.092429062,0.046039667,2014,2015,,,,,
4,FDBF095 NA,FRONT BUMPER FINISHER,Ford,TOURNEO CONNECT,DT11-17B968-A,1,0.40725116,0.799553678,0.0212457,2014,2015,,,,,
5,FDS096 LA,REAR SIDE BUMPER LH,Ford,TOURNEO CONNECT,DT1117927B,1,11.64198637,6.948034738,0.990838125,2014,2015,,,,,
,FDS096 RA,REAR SIDE BUMPER RH,Ford,TOURNEO CONNECT,DT1117926B,1,6.057246369,27.56399282,0.703906589,2014,2015,,,,,
1,FDB093 NA,FRONT BUMPER WITH FINISHER,Ford,TOURNEO COURIER,ET76-17K819,1,4.526363408,4.219953176,0.070213588,2014,2015,,,,,
2,FDB094 NA,REAR BUMPER,Ford,TOURNEO COURIER,ET75-175823A,1,4.30602109,4.760583171,0.050603154,2014,2015,,,,,
3,FDG093 NA,GRILLE CP/BK,Ford,TOURNEO COURIER,ET76-17B986-ACW,1,3.222437551,9.363245619,1.129282461,2014,2015,,,,,
4,FDFC093 LA,FOG LAMP COVER WITH HOLE LH,Ford,TOURNEO COURIER,RMRN-QR8NI-4S,1,9.247856774,0.937592208,0.282680162,2014,2015,,,,,
,FDFC093 RA,FOG LAMP COVER WITH HOLE RH,Ford,TOURNEO COURIER,R1NL-F3F3O-M9,1,5.269487005,21.84113794,0.514653861,2014,2015,,,,,
5,FDP093 NA,APRON,Ford,TOURNEO COURIER,ET76-14778-AB,1,0.953176711,13.06526729,0.03450238,2014,2015,,,,,
6,FDS094 LA,REAR SIDE BUMPER LH,Ford,TOURNEO COURIER,ET76-117927ECXWAA,1,5.788324384,5.636242804,0.064880647,2014,2015,,,,,
,FDS094 RA,REAR SIDE BUMPER RH,Ford,TOURNEO COURIER,ET76-117926ECXWAA,1,0.703383621,4.325202503,1.032398182,2014,2015,,,,,
1,FDB091 LA,FRONT BUMPER LOWER,Ford,TOURNEO CUSTOM,BK21-R17757-AA,1,10.91195292,16.90351977,1.69389635,2014,2014,,,,,
2,FDB091 UA,FRONT BUMPER UPPER,Ford,TOURNEO CUSTOM,BK21-17F003-A,1,2.903990127,14.47401421,0.054941986,2014,2014,,,,,
3,FDBF091 NA,FRONT BUMPER FINISHER,Ford,TOURNEO CUSTOM,BK21-17K946-AC,1,0.489534615,0.686231003,0.021545616,2014,2014,,,,,
4,FDB092 NA,REAR BUMPER,Ford,TOURNEO CUSTOM,KK9V-WSFXH-AP,1,4.629029645,7.227913082,0.066026745,2014,2014,,,,,
5,FDS092 LA,REAR SIDE BUMPER LH,Ford,TOURNEO CUSTOM,BK21-17927-A,1,22.98404162,7.424127613,1.320369392,2014,2014,,,,,
,FDS092 RA,REAR SIDE BUMPER RH,Ford,TOURNEO CUSTOM,BK21-17926-A,1,12.30783497,9.051717496,0.046299883,2014,2014,,,,,
1,CVB021 UA,FRONT BUMPER UPPER PANEL,GMC,SIERRA,8IOE-U4G07-28,1,31.80637832,1.396895654,0.205349228,2016,2017,,,,,
2,CVB021 LA,FRONT BUMPER LOWER PANEL,GMC,SIERRA,DEW5-5SLUN-6G,1,11.77179014,5.977597918,1.026684828,2016,2017,,,,,
3,CVP021 NA,VALENCE PANEL,GMC,SIERRA,ELL6-BJKJE-NM,1,9.722643222,10.52959274,0.888192,2016,2017,,,,,
4,CVG021 NA,GRILLE CP,GMC,SIERRA,DJU2-4D4FL-Q8,1,6.554351044,18.00785458,0.933357808,2016,2017,,,,,
5,CVHL021 LA,HEAD LAMP LH,GMC,SIERRA,ELX1-73UL5-6D,1,12.26819436,10.87129602,1.699621036,2016,2017,,,,,
,CVHL021 RA,HEAD LAMP RH,GMC,SIERRA,BADV-NGJMP-JL,1,2.296755837,0.333139969,0.412065519,2016,2017,,,,,
6,CVFL021 LA,FOG LAMP LH,GMC,SIERRA,77HW-K3FUS-64,1,5.374507083,9.938412762,0.236143069,2016,2017,,,,,
,CVFL021 RA,FOG LAMP RH,GMC,SIERRA,6MPI-9FAWT-AV,1,10.35298984,1.408667677,0.979292143,2016,2017,,,,,
7,CVG022 NA,GRILLE PERFORMANCE CP,GMC,SIERRA,ZM8Y-DPN8S-ZB,1,5.295369942,0.918330922,1.226300778,2016,2017,,,,,
8,CVL021 LA,TAIL LAMP LH LED,GMC,SIERRA,RFGN-RMIY0-0B,1,6.469517888,3.775609619,0.030870936,2016,2017,,,,,
,CVL021 RA,TAIL LAMP RH LED,GMC,SIERRA,0SYQ-UJ45X-LC,1,5.441432766,20.09991113,0.203756333,2016,2017,,,,,
9,CVL022 LA,TAIL LAMP LH PERFORMANCE,GMC,SIERRA,SNTL-49ZJI-N2,1,10.6036893,1.863016098,2.215736775,2016,2017,,,,,
,CVL022 RA,TAIL LAMP RH PERFORMANCE,GMC,SIERRA,XS0T-ZFKT4-P1,1,0.936207304,10.11899495,1.016781963,2016,2017,,,,,
1,GMIF015 LA,INNER FENDER REAR LH,GMC,SILVERDO,22757277,20,12.49342642,11.22327883,0.076301803,2014,2014,,,,,
,GMIF015 RA,INNER FENDER REAR RH,GMC,SILVERDO,22757278,20,11.10413361,11.86511082,0.072164187,2014,2014,,,,,
2,GMDT015 SA,DOOR MOULDINGS SET 2 DOOR CHROME,GMC,GMC,HA20-IGBP3-T4,1,3.636995825,3.401974327,0.029847181,2014,2016,,,,,
3,GMDT015 SB,DOOR MOULDING SET 4 DOOR CHROME,GMC,GMC,2275440L/,1,5.598123159,5.977404492,0.056753523,2014,2016,,,,,
4,GMDT015 SC,DOOR MOULDING SET EXTRA CAB CHROME,GMC,GMC,L2MJ-KD1E8-2H,1,5.341202559,5.382256148,0.045273404,2014,2016,,,,,
1,GMB011 NA,FRONT BUMPER,GMC,GMC,NGM25890766,1,6.777984606,5.718411943,0.090151383,2006,2012,,,,,
2,GMBF011 NA,FRONT BUMPER FINISHER,GMC,GMC,NGM15893975,1,0.487485097,2.855250364,0.01907938,2006,2012,,,,,
3,GMG011 NA,GRILLE CP/BK,GMC,GMC,NGM25891151,1,2.147287492,2.105824247,0.082364193,2006,2012,,,,,
4,GMB012 NA,REAR BUMPER,GMC,YUKON,20951794,1,3.869457247,3.971830191,0.050023406,2006,2012,,,,,
1,GMG013 SA,GRILLE CP WITH BUMPER FINISHER CP+BK,GMC,GMC,NGM25891152,1,6.53865664,6.146842709,0.078359342,2006,2012,,,,,
2,GMBF013 SA,FRONT BUMPER FINISHER WITH MOULDING CP,GMC,GMC,NGM15893975,1,0.501077346,2.764930466,0.082104865,2006,2012,,,,,
3,GMBM013 NA,MOULDING BUMPER FINISHER ALL CP,GMC,GMC,JWHO-GIC0C-OG,1,0.390585925,0.33356885,0.002110027,2006,2012,,,,,
4,GMIF013 R LA,INNER FENDER REAR LH SIERA PICK UP,GMC,SILVERADO PICKUP,40QZ-785IM-KJ,10,14.68089122,18.64988419,0.04140984,2008,2014,,,,,
,GMIF013 R RA,INNER FENDER REAR RH SIERA PICK UP,GMC,SILVERADO PICKUP,F2P1-D5PA4-55,10,15.70835987,16.07637042,0.04270599,2008,2014,,,,,
1,GMB017 NA,FRONT BUMPER W/4 SENSOR HOLE (BIG BRACKET),GMC,YUKON,23142977/23320621,1,0.502858768,3.561870598,0.344004352,2015,2020,,,,,
2,GMP017 NA,FRONT BUMPER LOWER,GMC,YUKON,22936430,1,1.609152599,4.643760837,0.052645943,2015,2020,,,,,
3,GMG017 SA,GRILLE CP/BK COMPLETE SET,GMC,YUKON,22936421/84119634,1,3.664317431,10.14102152,0.590697964,2015,2020,,,,,
4,GMFC017 LB,FOG LAMP COVER W/HOLE LH( BASE BK/CP MOULDING),GMC,YUKON,22936427,1,0.307876458,10.13960334,1.72709645,2015,2020,,,,,
,GMFC017 RB,FOG LAMP COVER W/HOLE RH( BASE BK/CP MOULDING),GMC,YUKON,22936426,1,0.321453545,3.220938231,1.107400795,2015,2020,,,,,
5,GMB018 NA,REAR BUMPER,GMC,YUKON,23386115/23142965,1,3.51909122,4.817231947,0.055738333,2015,2016,,,,,
6,GMP018 LA,REAR BUMPER LOWER,GMC,YUKON,22983417,1,18.80839987,9.522461332,0.06312857,2015,2016,,,,,
1,IZG028 NA,GRILLE CP/BK CP/BK,Isuzu,TFR '99,1A76-69FT8-7Y,5,9.587277586,13.67141819,0.311587222,1999,1999,,,,,
2,IZG028 NB,GRILLE GYM GYM,Isuzu,TFR,8-97180-143-0,5,9.362671295,11.20250616,0.302679134,1999,1999,,,,,
3,IZG028 NC,GRILLE ALL CP NC,Isuzu,TFR,PERFORMANCE,5,5.500447376,7.942261175,0.24604105,1999,1999,,,,,
4,IZG029 NA,GRLLE CP/BK CP/BK,Isuzu,TFR 4WD,8-97177-946-4,1,9.349270277,11.95524145,0.083338603,1999,1999,,,,,
5,IZG029 NB,GRILLE GYM GYM,Isuzu,TFR 4WD,8-97177-216-4,5,8.77023825,12.56036398,0.242036262,1999,1999,,,,,
6,IZG029 NC,GRILLE MAT GY MAT GY,Isuzu,GM,9-99992-001-N,1,9.164217761,11.98804316,0.093008936,1999,2002,,,,,
7,IZG029 ND,GRILLE ALL CP ND,Isuzu,FASTER,PERFORMANCE,5,5.782571,7.603570766,0.237762124,1999,2000,,,,,
8,IZB028 NA,F.BUMPER BK NA,Isuzu,TFR,8-97180-774-3,1,3.673772279,4.099011455,0.053934182,1999,1999,,,,,
9,IZIB028 NA,FRONT BUMPER BK BK,Isuzu,TFR '99,8-97175-578-1,5,15.03883945,16.84284383,0.071163869,1999,1999,,,,,
10,IZIB028 NB,FRONT BUMPER CP CP,Isuzu,TFR '99,8-97175-579-1,5,14.59571531,17.22640811,0.068080591,1999,1999,,,,,
11,IZHL029 LA,HEAD LAMP LH RHD SINGLE,Isuzu,TFR DRAGON EYE,8-97917-420-0,6,13.68399684,14.74075668,0.11708204,1999,1999,,,,,
,IZHL029 RA,HEAD LAMP RH RHD SINGLE,Isuzu,TFR DRAGON EYE,8-97917-419-0,6,15.77341705,15.37839991,0.109996444,1999,1999,,,,,
12,8-97918-052-2,CORNER LAMP MULTI LH,Isuzu,ISUZU TFR,8-97918-052-2,1,0.175494784,0.259752875,0.003131131,1999,2001,,,,,
,8-97913-910-2,CORNER LAMP MULTI RH,Isuzu,ISUZU TFR,8-97913-910-0,1,0.192773535,0.275076109,0.003728442,1999,2001,,,,,
13,IZFL028 LA,F.LAMP GY/AMBER,Isuzu,TFR,8-97180-902-0,30,8.863594058,10.97219592,0.065467407,1999,1999,,,,,
,IZFL028 RA,F.LAMP GY/AMBER,Isuzu,TFR,8-97180-903-0,30,8.494090849,11.36419548,0.067494888,1999,1999,,,,,
14,IZSL025 LA,SIDE LAMP LH AMBER,Isuzu,TFR,8-97131-932-1,50,4.15713204,5.701966634,0.050268748,1997,1999,,,,,
,IZSL025 RA,SIDE LAMP RH AMBER,Isuzu,TFR,8-97131-931-1,50,4.206149028,5.432086335,0.049880822,1997,1999,,,,,
15,8-97910-304-0,TAIL LAMP LH BK,Isuzu,TFR '97,8-97910-304-0,1,1.93953741,2.354616699,0.030148596,1997,1999,,,,,
,8-97910-303-0,TAIL LAMP RH BK,Isuzu,TFR '97,8-97910-303-0,1,0.601937293,0.719475782,0.00742108,1997,1999,,,,,
1,IZF024 LA,FENDER E.D.P. '97-'99,Isuzu,TFR,8-97111-813-9,1,2.880632041,3.621052721,0.048968709,1997,1999,,,,,
,IZF024 RA,FENDER E.D.P. '97-'99,Isuzu,TFR,8-97111-812-9,1,3.460271844,3.342503152,0.059311637,1997,1999,,,,,
2,8-97915-733-0/1,FENDER LH W/O HOLE,Isuzu,TFR,8-97915-733-1,1,2.978836423,6.371150682,0.206843965,1997,1999,,,,,
,8-97915-732-0,FENDER RH W/O HOLE,Isuzu,TFR,8-97915-732-0,1,2.716261745,5.734367568,0.193651374,1997,1999,,,,,
3,IZH024 NA,HOOD '97-'98,Isuzu,TFR,8-97912-164-0,1,12.10450007,13.14696745,0.088857189,1997,1998,,,,,
4,IZT030 NA,REAR GATE SIDE OPENER,Isuzu,TFR DRAGON EYES,8-97940-401-0,1,14.66795358,17.73026469,0.073436244,2000,2000,,,,,
5,IZT030 NB,REAR GATE MIDDLE OPENER,Isuzu,TFR DRAGON EYE,8-97940-402-0,1,13.81083766,18.1861116,0.066229825,2000,2000,,,,,
6,8-97940-399-0,TAIL GATE,Isuzu,TFR,8-97940-399-0,1,11.68171081,10.65567378,0.0942519,1999,1999,,,,,
7,IZTB024 NA,REAR TAIL BODY SINGLE CAB,Isuzu,ISUZU TFR,8-97919-613-1,1,123.9833106,132.7178432,2.919873523,1997,1998,,,,,
8,IZTB024 NB,REAR TAIL BODY DOUBLE CAB,Isuzu,ISUZU TFR,OOZU-XDNSI-8S,1,109.6616379,102.8785579,1.857313945,1997,1998,,,,,
9,IZS018 LA,R.SIDE BUMPER BK MAT/BK,Isuzu,CAMEO,8-97084-242-1,5,2.078708824,3.349637371,0.03689429,1993,1994,,,,,
,IZS018 RA,R.SIDE BUMPER BK MAT/BK,Isuzu,CAMEO,8-97084-242-1,5,2.185111552,3.793585095,0.032981176,1993,1994,,,,,
10,IZS018 LB,R.SIDE BUMPER CP CP,Isuzu,RODEO,8-97084-245-1,5,2.185264472,3.104453423,0.030928338,1993,1994,,,,,
,IZS018 RB,R.SIDE BUMPER CP CP,Isuzu,RODEO,8-97084-244-1,5,2.228048197,3.038993021,0.030782087,1993,1994,,,,,
11,IZW025 NA,WIPER PANEL BKG RHD MAT/BKG,Isuzu,TFR,8-97142-701-3,10,3.845695531,5.464338332,0.039888022,1997,1999,,,,,
12,IZW025 NB,WIPER PANEL LHD TYPE PRIME/BKG,Isuzu,TFR,8-97142-702-3,10,3.693275409,5.418906055,0.050896483,1997,2000,,,,,
7,IZE024 LA,CORNER PANEL TFR/FUEGO/SLX '97 LA,Isuzu,TFR/FUEGO/SLX,8LJH-6K4KU-MF,1,0.505123239,2.360945412,0.00932582,1997,1997,,,,,
,IZE024 RA,CORNER PANEL TER/FUEGO/SLX '97RA,Isuzu,TFR/FUEGO/SLX,N66F-41KEU-IH,1,0.434299663,2.448342102,0.01086867,1997,1997,,,,,
1,IZB030 NA,F.BUMPER PP/BK W/O HOLE,Isuzu,DRAGON EYE,8-97940-740-2,1,4.097457322,4.141394443,0.05886142,2000,2000,,,,,
2,IZB030 NB,F.BUMPER PP/BK W/O HOLE,Isuzu,DRAGON,8-97940-908-2,1,3.882005746,4.441405815,0.049151077,2000,2000,,,,,
3,IZB030 NC,F. BUMPER D.GY W/O HOLE,Isuzu,GM,GM-2719006,1,11.25558085,10.85032812,0.045688193,2000,2002,,,,,
4,IZB030 ND,F. BUMPER D.GY W/ HOLE,Isuzu,GM,GM-2719007,1,9.3360889,10.33169297,0.041770589,2000,2002,,,,,
5,IZB030 NE,F.BUMPER PP/BK W/O HOLE,Isuzu,GM,GM2719007,1,10.89028235,10.89234723,0.048243867,2000,2002,,,,,
6,IZG034 NA,GRILLE GY,Isuzu,GM,9-99992-002-N,5,10.92810846,14.69667694,0.039862008,2001,2002,,,,,
7,IZG034 NB,GRILLE CP/GYM,Isuzu,GM,HE9B-QXYW1-4N,5,8.821237135,11.34905607,0.035956662,2001,2002,,,,,
8,IZFC030 LA,FOG LAMP LH,Isuzu,ISUZU,8-97918-517-0,20,5.821635909,7.138975732,0.075295099,2000,2000,,,,,
,IZFC030 RA,FOG LAMP RH,Isuzu,ISUZU,8-97918-516-0,20,6.535253573,7.119868266,0.078116559,2000,2000,,,,,
9,IZLP030 NA,LICENSE PLATE LAMP,Isuzu,DRAGON EYES,8-97910-608-3,400,3.637819439,4.421319096,0.049419673,2001,2001,,,,,
10,IZLP030 NB,LICENSE PLATE LAMP,Isuzu,G.M,9-99990-026-N,200,5.363868504,6.40142336,0.054062928,2001,2001,,,,,
11,IZL035 LA,TAIL LAMP LH,Isuzu,GM 2003,GM-2719049,10,5.97833036,7.935278761,0.110742104,2003,2003,,,,,
,IZL035 RA,TAIL LAMP RH,Isuzu,GM 2003,GM-2719050,10,6.087388755,7.77802876,0.126692575,2003,2003,,,,,
12,IZMR035 LA,DOOR MIRROR LH,Isuzu,GM,GM2719051,20,7.450569243,9.955956127,0.115593953,2003,2003,,,,,
,IZMR035 RA,DOOR MIRROR RH,Isuzu,GM,GM2719052,20,7.764400024,9.684649279,0.106604661,2003,2003,,,,,
13,IZBR030 NA,BUMPER REINFORCEMENT DRAGON,Isuzu,TFR,8-97940-777-2,5,13.82326646,16.31445688,0.018231839,2000,2000,,,,,
14,IZBS030 LA,BUMPER SUPPORT '00,Isuzu,ISUZU TFR,8-97940-785-1,1,1.890695954,1.671562784,0.014934828,2000,2000,,,,,
,IZBS030 RA,BUMPER SUPPORT '00,Isuzu,ISUZU TFR,8-97940-784-1,1,1.974103553,2.142401839,0.009948742,2000,2000,,,,,
15,IZBS030 LL,BUMPER BRACKET L(BIG) LH L2,Isuzu,GM,PGFK-TCXZT-EO,1,0.57564004,0.472705069,0.005856083,2001,2003,,,,,
,IZBS030 LR,BUMPER BRACKET L(BIG) RH R1,Isuzu,GM,SJ9G-BLZ6R-LN,1,2.02110189,2.018376918,0.016286257,2001,2003,,,,,
1,IZBS030 LM,BUMPER BRACKET SIDE,Isuzu,ISUZU TFR,8-97940-772-2,1,2.234825511,1.803517747,0.002496599,2000,2000,,,,,
,IZBS030 RM,BUMPER BRACKET SIDE,Isuzu,ISUZU TFR,8-97940-771-2,1,2.070691339,2.222324852,0.002724069,2000,2000,,,,,
2,IZBS030 SL,BUMPER S BRACKET LH L3,Isuzu,GM,PG2J-OKQLD-5A,1,0.496868497,0.484427952,0.005109649,2001,2003,,,,,
,IZBS030 SR,BUMPER S BRACKET RH R3,Isuzu,GM,2EE7-0MMFX-SS,1,0.500565577,0.480622831,0.005672084,2001,2003,,,,,
3,IZBS030 UL,BUMPER BRACKET U LH L4,Isuzu,GM,M53W-SDRA5-JF,1,0.550755944,0.556321207,0.005053496,2001,2003,,,,,
,IZBS030 UR,BUMPER BRACKET U RH R4,Isuzu,GM,1EYX-151OP-6L,1,0.538347473,0.451784147,0.004927262,2001,2003,,,,,
4,8-97386-726-0,REAR MUD FLAP LH,Isuzu,D-MAX TFR,8-97386-726-0,1,0.270592912,0.297621383,0.00346595,2003,2003,,,,,
,8-97386-725-0,REAR MUD FLAP RH,Isuzu,D-MAX TFR,8-97386-725-0,1,0.323081737,0.336886473,0.003416594,2003,2003,,,,,
1,IZB037 NA,F.BUMPER 2 WD,Isuzu,D-MAX,8-97330-923-0/235-962-2,1,3.700639586,3.864493137,0.059814331,2002,2003,,,,,
2,IZB037 NB,F. BUMPER 4WD,Isuzu,D-MAX,8-97235-966-2,1,4.310707839,4.011443392,0.063436829,2002,2003,,,,,
3,IZB037 NC,FRONT BUMPER DARK GRAY,Isuzu,D-MAX,8-97330-923-0/235-962-2,1,3.79100468,3.998400529,0.057366682,2002,2003,,,,,
4,IZB037 ND,FRONT BUMPER DARK GRAY,Isuzu,D-MAX,8-97330-923-0/235-962-2,1,3.75435911,4.13046031,0.060231651,2002,2003,,,,,
5,IZG037 NA,GRILLE WITH GRILLE MOULDING GY,Isuzu,D-MAX,8-97331-426-0,5,7.145362007,9.73377133,0.134443496,2002,2003,,,,,
6,IZG037 NB,GRILLE GRAY / CP MOULDING,Isuzu,D-MAX,PERFORMANCE,5,7.399527368,8.702447033,0.127478313,2002,2003,,,,,
7,IZG037 NC,GRILLE W/MOULDING ALL CP,Isuzu,D-MAX,YCSS-7JYGQ-MW,5,6.788747141,8.448396465,0.1098636,2002,2003,,,,,
8,IZG037 ND,GRILLE W/O MOULDING,Isuzu,D-MAX,8-97331-426-0,5,6.717898712,8.86190404,0.111251671,2002,2003,,,,,
9,CVG037 NA,GRILLE MAT BK/ CP MOULDING ***,Isuzu,LUV-D-MAX,8-97333-541-2,5,7.0875338,7.474090043,0.112810811,2005,2006,,,,,
,CVGM037 LA,GRILLE MOULDING LA ALL CP,Isuzu,LUV-D-MAX,8-97333-542-2,150,6.280720501,5.356715844,0.067520325,2005,2006,,,,,
,CVGM037 RA,GRILLE MOULDING RA ALL CP,Isuzu,LUV-D-MAX,8-97333-542-2,1,1.885961366,20.02141704,0.115350463,2005,2006,,,,,
10,IZG039 NA,GRILLE CP/BK 4WD,Isuzu,D-MAX,8-97331-457-0,5,7.625230575,10.13363681,0.116844624,2002,2003,,,,,
11,IZG039 NB,GRILLE GYM,Isuzu,D-MAX,8-97331-613-0,5,7.771282988,8.553365168,0.124680804,2002,2003,,,,,
12,IZG039 NC,GRILLE ALL CP,Isuzu,D-MAX,8-97331-457-0,5,6.582805812,9.467560506,0.115816246,2003,2004,,,,,
13,8-97331-458-0,GRILLE MAT GY,Isuzu,D-MAX,8-97331-458-0,1,0.541840624,0.773609755,0.016376978,2002,2004,,,,,
14,IZGM037 LA,GRILLE LOWER MOULDING CP,Isuzu,D-MAX,8-97331-427-0,5,0.4783143,1.607370076,0.021246003,2002,2003,,,,,
15,IZGM037 UA,GRILLE UPPER MOULDING CP,Isuzu,D-MAX,8-97331-427-0,5,0.603220139,1.684736458,0.020911643,2002,2003,,,,,
16,IZGM037 LB,GRILLE LOWER MOULDING GY,Isuzu,D-MAX,8-97331-428-0,5,0.482806777,1.590883953,0.012556943,2002,2003,,,,,
17,IZGM037 UB,GRILLE MOULDING MOULDING GY,Isuzu,D-MAX,8-97331-428-0,1,4.6987437,8.443005858,0.71226372,2002,2003,,,,,
1,IZHL037 LA,HEAD LAMP LH MANUAL,Isuzu,D-MAX,8-97237-496-2,6,18.64515407,8.356498659,0.179007617,2002,2003,,,,,
,IZHL037 RA,HEAD LAMP RH MANUAL,Isuzu,D-MAX,8-97237-495-2,6,11.02400326,16.9433093,0.163122316,2002,2003,,,,,
2,IZHL037 LB,HEAD LAMP LHD ELECTRIC,Isuzu,D-MAX,8-97357-326-0/GM-97357326,6,14.13219086,7.658605532,0.168593277,2004,2005,,,,,
,IZHL037 RB,HEAD LAMP LHD ELECTRIC,Isuzu,D-MAX,8-97237-501-3/GM-97237501,6,3.437900742,4.390024845,0.167274475,2004,2005,,,,,
3,IZHL037 LC,HEAD LAMP LH MANUAL W/CITY HOLE,Isuzu,D-MAX,8-97332-445-0,6,9.923707063,8.895975738,0.14425574,2003,2005,,,,,
,IZHL037 RC,HEAD LAMP RH MANUAL W/CITY HOLE,Isuzu,D-MAX,8-97332-444-0,6,9.104375381,9.037957499,0.151864958,2003,2005,,,,,
4,IZHL037 LD,HEAD LAMP LH W/O CAP 2 HOLE,Isuzu,D-MAX,U32D-VY7RL-QF,6,8.640311152,22.66170006,0.186810647,2004,2005,,,,,
,IZHL037 RD,HEAD LAMP RH W/O CAP 2 HOLE,Isuzu,D-MAX,75I2-Z1BS5-JN,6,9.160081089,7.391841914,0.19023138,2004,2005,,,,,
5,IZHL037 LE,HEAD LAMP LH W/O CAP 3 HOLE,Isuzu,D-MAX,M9A4-7QM7M-1Q,6,8.249257546,19.55235462,0.170697513,2004,2006,,,,,
,IZHL037 RE,HEAD LAMP RH W/O CAP 3 HOLE,Isuzu,D-MAX,LR7J-HSMSW-KY,6,5.101183418,14.71010626,0.151839506,2004,2005,,,,,
6,IZFL037 LA,FOG LAMP LH WITH WIRE,Isuzu,ISUZU D-MAX,8-97237-590-1,40,9.1547102,10.30923883,0.136396913,2002,2002,,,,,
,IZFL037 RA,FOG LAMP RH WITH WIRE,Isuzu,ISUZU D-MAX,8-97237-5,40,8.316747137,9.683523703,0.115046979,2002,2002,,,,,
7,IZFC037 LA,FOG LAMP COVER LH,Isuzu,D-MAX,8-97302-015-1,20,1.466390918,2.67742818,0.05282324,2002,2003,,,,,
,IZFC037 RA,FOG LAMP COVER RH,Isuzu,D-MAX,8-97302-014-1,20,1.641260294,2.685420695,0.049887263,2002,2003,,,,,
8,IZSL037 NA,SIDE LAMP R/LA,Isuzu,D-MAX/COLORADO,8-97237-378-1,20,1.133567811,31.34864228,0.06039297,2002,2003,,,,,
9,IZSL037 NB,SIDE LAMP CRYSTAL,Isuzu,D-MAX,8-97231-378-1,20,7.29403465,9.864320214,0.041811888,2003,2004,,,,,
10,IZLP039 NA,LICENSE PLATE LAMP,Isuzu,D-MAX,8-97236-690-1,20,1.902932588,2.883832308,0.025279334,2002,2005,,,,,
11,IZBL039 NA,BACK UP LIGHT RED,Isuzu,ISUZU D-MAX,8-97381-629-0/8-97305-671,1,6.499906962,6.55291308,0.601502088,2002,2005,,,,,
12,8-97305-674-1,LAMP STOP,Isuzu,D-MAX,8-97305-674-1,1,0.229145529,0.34526543,0.002840845,2002,2003,,,,,
13,IZL037 LA,TAIL LAMP LH UNIT,Isuzu,D-MAX,8-97234-750-1,20,25.50309472,2.88238509,0.164378815,2002,2003,,,,,
,IZL037 RA,TAIL LAMP RH UNIT,Isuzu,D-MAX,8-97234-749-1,20,13.56396469,14.18018902,0.142799567,2002,2003,,,,,
14,8-97234-750-2,TAIL LAMP LH(8-97368-095-0),Isuzu,ISUZU D-MAX,8-97234-750-2,1,15.12434022,11.53584567,0.003132555,2002,2004,,,,,
,8-97234-749-2,TAIL LAMP RH (8-97368-094-0/8-98023359-0),Isuzu,ISUZU D-MAX,8-97234-749-2,1,5.128205986,6.776664246,1.518433133,2002,2004,,,,,
1,IZMR037 LA,DOOR MIRROR BK RHD,Isuzu,ISUZU D-MAX,8-97236-057-4,6,9.963653174,13.07419415,0.110357006,2002,2003,,,,,
,IZMR037 RA,DOOR MIRROR BK RHD,Isuzu,ISUZU D-MAX,8-97236-060-4,6,8.933384912,10.98907948,0.098256729,2002,2003,,,,,
2,IZMR037 LB,DOOR MIRROR CP ELECTRIC RHD,Isuzu,ISUZU D-MAX,8-97236-065-3,1,3.006603874,5.172801994,0.027221783,2002,2003,,,,,
,IZMR037 RB,DOOR MIRROR CP ELECTRIC RHD,Isuzu,ISUZU D-MAX,8-97236-067-3,1,2.824234663,4.532327841,0.033314202,2002,2003,,,,,
3,IZMR037 LC,DOOR MIRROR CP MANUAL LH RHD,Isuzu,D-MAX,4G9S-TV73S-CR,4,4.799224934,5.697072527,0.0417422,2002,2003,,,,,
,IZMR037 RC,DOOR MIRROR CP MANUAL RH RHD,Isuzu,D-MAX,DDKD-GB8UY-J6,4,5.037904153,6.606693308,0.040157842,2002,2003,,,,,
4,IZMR037 LD,DOOR MIRROR BK LHD LH,Isuzu,D-MAX,9EKU-MDS4X-6G,4,4.732137742,6.255621706,0.043528171,2002,2003,,,,,
,IZMR037 RD,DOOR MIRROR BK LHD RH,Isuzu,D-MAX,7HJ2-5EF3E-84,4,6.485106198,5.695165532,0.047488969,2002,2003,,,,,
5,IZF037 LA,FENDER LH W/O S.L HOLE,Isuzu,D-MAX,8-97234-753-6,1,3.527482035,3.833746101,0.066297017,2002,2003,,,,,
