,CN15-13-W029EB,H/LAMP & FLSR ASY R*,ECOSPORT,'13-'16,CN15-13-W029EB,1,,,,
13,FDHL065 LA,HEAD LAMP RH,ECOSPORT,'13-'16,CN15-13-W030EB,1,,,,
,FDHL065 RA,HEAD LAMP LH,ECOSPORT,'13-'16,CN15-13-W029EB,1,,,,
14,CN15-13-W029EC,HEAD LAMP ASSY RH,ECOSPORT,'14-'16,CN1Z-13-008W,1,0.75,1.00,0.0786,
15,FDFC065 LA,FOG LAMP COVER W/O HOLE LH,ECOSPORT,'13-'16,CN15-15A299-BBW,,,,,
,FDFC065 RA,FOG LAMP COVER W/O HOLE RH,ECOSPORT,'13-'16,CN15-15A298-BBW,,,,,
NO,CODE,DESCRIPTION,MODEL,YEAR,OEM,PCS,NW,GW,M3,PART LINK
1,FDFC065 LB,FOG LAMP COVER WITH HOLE LH,ECOSPORT,'13-'16,CN15-15-A299CA5ZCT,1,0.09,0.09,0.0039,
,FDFC065 RB,FOG LAMP COVER WITH HOLE RH,ECOSPORT,'13-'16,CN15-15-A298CA5ZCT,1,0.09,0.09,0.0039,
2,2N11-15-201AB,FOG LAMP ASY- FRT,ECOSPORT,'13-'16,2N11-15-201AB,1,,,,
3,CN15-15-B217BA5SM3,FOG LAMP COVER MOULDING(CP) LH,ECOSPORT,'13-'16,CN15-15-B217BA5SM3,1,,,,
,CN15-15-B216BA5SM3,FOG LAMP COVER MOULDING(CP) RH,ECOSPORT,'13-'16,CN15-15-B216BA5SM3,1,,,,
4,CN15-13-405BA,TAIL LAMP ASSY LH,ECOSPORT,'13-'16,CN15-13-405BA,1,0.50,0.75,0.0173,
,CN15-13-404BA,TAIL LAMP ASSY RH,ECOSPORT,'13-'16,CN15-13-404BA,1,0.50,0.75,0.0173,
5,FDL065 LA,TAIL LAMP LH,ECOSPORT,'13-'16,CN15-13-405BB,1,0.75,1.00,0.0030,
,FDL065 RA,TAIL LAMP RH,ECOSPORT,'13-'16,CN15-13-404BB,1,0.75,1.00,0.0030,
6,FDMR065 LA,DOOR MIRROR LH,ECOSPORT,'13-'16,,1,,,,
,FDMR065 RA,DOOR MIRROR RH,ECOSPORT,'13-'16,,1,,,,
7,PCN1-5N-16612CA,HOOD ASSY,ECOSPORT,'13-'16,PCN1-5N-16612CA,1,,,,
8,FDIF065 LA,INNER FENDER LH,ECOSPORT,'13-'16,CN15-16115-AB,20,14.85,15.00,0.0500,
,FDIF065 RA,INNER FENDER RH,ECOSPORT,'13-'16,CN15-16114-AB,20,14.85,15.00,0.0500,
9,CN15-N1-6746AA,INSUL HOOD PNL SND *,ECOSPORT,13-16,CN15-N-16746AA,1,,,,
10,FDR065 UA,RADIATOR SUPPORT UPPER,ECOSPORT,13-16,CN16-16E146-BA,1,4.00,5.00,0.0300,
11,CN15-16-E146AK,RADIATOR SUPPORT UPPER,ECOSPORT,'15-'18,CN1Z-16-138A,1,1.68,1.70,0.0607,
12,FDR065 LA,RADIATOR SUPPORT LOWER,ECOSPORT,13-16,CN16-16E147-AD,2,1.84,1.84,0.1036,
13,FDBR065 NA,FRONT REINFORCEMENT,ECOSPORT,13-16,CN15-17E778-AC,1,1.45,1.54,0.0100,
14,YL8Z-6A-642BA,"COOLER,OIL",ECOSPORT,13-16,YL8Z-6A-642BA,1,,,,
15,AV11-19-710KA,AC CONDENSER,ECOSPORT,'15-'18,AV1Z-19-712C,1,2.25,3.02,0.0499,
16,CN15-8B-384AB,AIR GUIDE LOWER,ECOSPORT,'15-'18,CN15-8B-384AB,1,1.08,1.16,0.0215,
17,CN15-17-402BA,REAR WIPER BLADE,ECOSPORT,'15-'18,CN15-17-402BA,1,0.07,0.38,0.0001,
18,CN15-17-C403BB,REAR WIPER ARM ASSY.,ECOSPORT,'15-'18,CN15-17-C403BB,1,0.23,0.24,,
NO,CODE,DESCRIPTION,MODEL,YEAR,OEM,PCS,NW,GW,M3,PART LINK
1,CN15-17-E731AA,LH SIDE MIRROR LOWER COVER,ECOSPORT,'15-'18,CN15-17-E731AA,1,0.04,0.09,0.0011,
,CN15-17-E730AA,RH SIDE MIRROR LOWER COVER,ECOSPORT,'15-'18,CN15-17-E730AA,1,0.04,0.09,0.0011,
2,CN15-A0-01A04AA,AIR GUIDE UPPER,ECOSPORT,'15-'18,CN15-A0-01A04AA,1,0.27,0.33,0.0160,
3,FDBS065 LA,FRONT BUMPER BRACKET LH,ECOSPORT,2013,CN15-17A870-AD,1,,,,
,FDBS065 RA,FRONT BUMPER BRACKET RH,ECOSPORT,2013,CN15-17A869-AD,1,,,,
NO,CODE,DESCRIPTION,MODEL,YEAR,OEM,PCS,NW,GW,M3,PART LINK
1,GN1Z-17757-BE,FRONT BUMPER,ECOSPORT,'18,GN1Z-17757-BE,1,,,,
2,GN1Z-17D957-JB,FRONT BUMPER LOWER,ECOSPORT,'18,GN1Z-17D957-JB,1,,,,
3,GN1Z-17D957-MB,COVER FRONT BUMPER LH,ECOSPORTS,'18,GN1Z-17D957-MB,1,,,,
,GN1Z-17D957-RB,COVER FRONT BUMPER RH,ECOSPORTS,'18,GN1Z-17D957-RB,1,,,,
4,GN1Z-17626-BD,PANEL FRONT BUMPER LOWER,ECOSPORTS,'18,GN1Z-17626-BD,1,,,,
NO,CODE,DESCRIPTION,MODEL,YEAR,OEM,PCS,NW,GW,M3,PART LINK
1,UBYL-50-03Y,FRONT BUMPER LOWER WITH HOLE,EVEREST,'06-'08,UBYL-50-03Y,1,1.94,2.33,0.1731,
2,UA6G-50-710B,GRILLE OEM.,EVEREST,'06-'07,UA6G-50-710B,1,2.54,3.52,0.0577,
NO,CODE,DESCRIPTION,MODEL,YEAR,OEM,PCS,NW,GW,M3,PART LINK
1,UF6A-51-0L0,"UNIT(L),HEAD LAMP",EVEREST,'11-'14,UF6A-51-0L0,1,,,,
,UF6A-51-0K0,"UNIT(R),HEAD LAMP",EVEREST,'11-'14,UF6A-51-0K0,1,,,,
2,UK8K-51-0L0,HEAD LAMP ASSY LH,EVEREST,'12-'15,UK8K-51-0L0,1,0.75,1.00,0.0796,
,UK8K-51-0K0,HEAD LAMP ASSY RH,EVEREST,'12-'15,UK8K-51-0K0,1,0.75,1.00,0.0796,
3,UF0M-50-C21B,"COVER(LH), FOG LAMP",EVEREST,'11-'14,UF0M-50-C21B,1,,,,
,UF0M-50-C11B,"COVER(RH), FOG LAMP",EVEREST,'11-'14,UF0M-50-C11B,1,,,,
4,UP21-51-250A,"LAMP(L),BACK UP",EVEREST,'11-'14,UP21-51-250A,1,,,,
,UP21-51-240A,"LAMP(R),BACK UP",EVEREST,'11-'14,UP21-51-240A,1,,,,
5,UF0L-51-580B,STOP LAMP (HMSL - S*,EVEREST,'11-'14,UF0L-51-580B,1,,,,
6,UF0L-51-160A,"LAMP(L),RR COMB. *",EVEREST,'11-'14,UF0L-51-160A,1,,,,
,UF0L-51-150A,"LAMP(R),RR COMB. *",EVEREST,'11-'14,UF0L-51-150A,1,,,,
7,UF6A-69-180,"MIRROR(L),DOOR",EVEREST,'11-14,UF6A-69-180,1,,,,
,UF6A-69-120,MIRROR REAR VIEW RH,EVEREST,'11-'14,UF6A-69-120,1,,,,
8,UF6B-69-180A,SIDE MIRROR ASSY LH,EVEREST,'14,UF6B-69-180A,1,1.05,1.78,0.0143,
,UF6B-69-120,MIRROR REAR VIEW RH,EVEREST,'11-'14,UF6B-69-120,1,,,,
9,UE4T-56-141,GUARD ASSY MUD LH,EVEREST,'11-'14,UE4T-56-141,1,,,,
,UE4T-56-131,GUARD ASSY MUD RH,EVEREST,'11-'14,UE4T-56-131,1,,,,
10,UF0L-62-020,DOOR ASSY LIFTGATE,EVEREST,'11-'14,UF0L-62-020,1,,,,
11,UR61-38-812A,ENGIND UNDDER COVER,EVEREST,'11-'14,UR61-38-812A,1,,,,
12,UB2C-61-480D,CONDENSER ASSY,EVEREST,'11-'14,UB2C-61-480D,1,,,,
13,WL81-15-350D,RADIATOR RESERVE TANK,EVEREST,'11-'14,WL81-15-350D,1,0.80,0.86,,
14,UR56-67-480A,"TANK,WASHER-FRONT",EVEREST,'11-'14,UR56-67-480A,1,,,,
15,UFY1-50-241,"BUMPER(L),REAR *",EVEREST,'11-'14,UFY1-50-241,1,,,,
,UFY1-50-231,"BUMPER(R),REAR *",EVEREST,'11-'14,UFY1-50-231,1,,,,
NO,CODE,DESCRIPTION,MODEL,YEAR,OEM,PCS,NW,GW,M3,PART LINK
1,US87-50-790A,RH COWL TOP LOUVER RHD,EVEREST,'11-'14,UR87-50-790A,1,,,,
2,US16-50-790A,GRILLE COWL TOP LHD,EVEREST,'11-'14,US16-50-790A,1,,,,
3,UA6G-51-W50C92 A,"FENDER(R),OVER-RR",EVEREST,'11-'14,UA6G-51-W50C92,1,,,,
,UA6G-51-W60C92 A,"FENDER(L),OVER-RR",EVEREST,'11-'14,UA6G-51-W60C92,1,0.94,2.46,0.1464,
4,UE4T-51-W7036,FRONT BUMPER FLARE RH,EVEREST,'10,UE4T-51-W70B,1,0.35,0.64,0.0179,
5,UA6G-51-V20B92 A,"PLATE(L),SIDE STEP",EVEREST,'11-'14,UA6G-51-V20B92,1,6.10,8.90,0.2517,
NO,CODE,DESCRIPTION,MODEL,YEAR,OEM,PCS,NW,GW,M3,PART LINK
1,UKY1-50-03X,FRONT BUMPER,EVEREST,'13-'14,UKY1-50-03X,1,4.00,4.50,0.0600,
NO,CODE,DESCRIPTION,MODEL,YEAR,OEM,PCS,NW,GW,M3,PART LINK
1,AMEB3J17F775AA,FRONT VALANCE PANEL COVER W/SENSOR HOLE,EVEREST,'15,AMEB3J17F775AA,1,,,,
2,AMEB3J17A894AB,REAR VALANCE PANEL COVER,EVEREST,'15,AMEB3J17A894AB,1,,,,
3,EB3B17F775CA,FRONT VALANCE PANEL W/SENSOR,EVEREST,'15,EB3B17F775CA,1,1.34,3.87,0.0500,
4,EB3B-17-F775FA,LOWER FRONT BUMPER COVER,EVEREST,'16-'19,EB3B-17-F775FA,1,1.34,3.87,0.0500,
5,EB3B17A894DBXUAA,REAR VALANCE PANEL,EVEREST,'15,EB3B17A894DBXUAA,1,,,,
6,EB3B-82-00ED,GRILLE OEM.,EVEREST,'15,EB3B-82-00ED,1,,,,
7,EB3B-13-W030GL,HEAD LAMP BK LH,EVEREST,'15,EB3B-13-W030GL,1,3.19,3.79,0.0683,
,EB3B-13-W029GL,HEAD LAMP BK RH,EVEREST,'15,EB3B-13-W029GL,1,3.16,4.29,0.0683,
8,EB3B-16-E061BE,HOOD LEDGE,EVEREST,'16,EB3B-16-E061BE,1,7.52,7.52,0.3563,
9,EB3B-17-B613BD,WINDSHIELD WASHER TANK,EVEREST,'16,EB3B-17-B613BD,1,,,,
10,EB3B-8C-333AC,AIR DEFLECTOR LOWER,EVEREST,'16-'17,EB3Z-83-27C,1,1.00,1.01,0.0520,
NO,CODE,DESCRIPTION,MODEL,YEAR,OEM,PCS,NW,GW,M3,PART LINK
1,FDB213 LA,FRONT BUMPER LOWER XLT INF PAT,EXPEDITION,'07-'14,7L1Z-17D957AA,1,,,0.0600,
2,FDG213 NA,GRILLE FULL CHROME,EXPEDITION,'07-'14,7L1Z-8200BA,1,1.80,1.80,0.0813,
NO,CODE,DESCRIPTION,MODEL,YEAR,OEM,PCS,NW,GW,M3,PART LINK
1,FDP215 UA,FRONT BUMPER UPPER W/O FLARE HOLE,EXPEDITION,'15-'17,FL1Z-17D957-APTM,,,,,
2,FDP215 UB,FRONT BUMPER UPPER W/ FLARE HOLE,EXPEDITION,'15-'17,FL1Z-17D957-BPTM,,,,,
3,FDB215 LA,FRONT BUMPER LOWER,EXPEDITION,'15-'17,FL1Z-17D957-AA,,,,,
4,FDB217 UA,FRONT BUMPER UPPER SQUARE,EXPEDITION,'15-'17,FL1Z-17D957-EPTM,,,,,
5,FDB215 UC,FRONT BUMPER LOWER W SENSOR HOLE,EXPEDITION,'15-'17,FL1Z-17D957-CA,,,,,
6,FDG215 NA,GRILLE,EXPEDITION,'15-'17,FL1Z-8200-BA,,,,,
NO,CODE,DESCRIPTION,MODEL,YEAR,OEM,PCS,NW,GW,M3,PART LINK
1,FDB011 NA,FRONT BUMOER,FIESTA,'03-'05,3N2117757 ADW,1,,,0.0500,
2,FDBF011 NA,FRONT BUMPER FINISHER,FIESTA,'05,4N21-FO18A58-AAW,1,,,,
3,FDB012 NA,REAR BUMPER,FIESTA,'03-'05,3N211790 ABW,1,,,0.0500,
4,FDG011 NA,GRILLE CP/BK,FIESTA,'03-'05,3N21-8A428-ABW,1,,,,
5,FDG011 NB,GRILLE CP/BK,FIESTA,'03-'05,3N21-8A428-ABW,1,,,,
6,FDG012 NA,GRILLE,FIESTA,'05,3N21-8A133-ABW,1,0.29,0.51,0.0096,
7,FDHL011 LA,HEAD LAMP LH,FIESTA,'03,3N21-13006-AA,1,,,,
,FDHL011 RA,HEAD LAMP RH,FIESTA,'03,3N21-13005-AA,1,,,,
8,FDHL011 LB,HEAD LAMP LH,FIESTA,'05,5N21-13006-AA,1,,,,
,FDHL011 RB,HEAD LAMP RH,FIESTA,'05,5N21-13006-AA,1,,,,
9,FDHL011 LC,HEAD LAMP SPORT TYPE LH,FIESTA,'05,5N21-13006-CA,1,,,,
,FDHL011 RC,HEAD LAMP SPORT TYPE RH,FIESTA,'05,5N21-13005-CA,1,,,,
10,FDFC011 LA,FOG LAMP COVER LH,FIESTA,'03,3N21-19953-BWA,1,,,,
,FDFC011 RA,FOG LAMP COVER RH,FIESTA,'03,3N21-19952-BWA,1,,,,
11,FDFL011 LA,FOG LAMP LH,FIESTA,'03,3N21-15K202-AA,1,,,,
,FDFL011 RA,FOG LAMP RH,FIESTA,'03,3N21-15K201-AA,1,,,,
12,FDFC011 LB,FOG LAMP COVER LH,FIESTA,'05,4N21-19953-ABW,1,,,,
,FDFC011 RB,FOG LAMP COVER RH,FIESTA,'05,4N21-19952-ABW,1,,,,
13,FDFL011 LB,FOG LAMP LH,FIESTA,'05,4N21-15K202-AA,1,,,,
,FDFL011 RB,FOG LAMP RH,FIESTA,'05,4N21-15K201-AA,1,,,,
14,FDSL011 NA,SIDE LAMP R=L CLEAR,FIESTA,'03-'05,,1,,,,
15,FDL011 LA,TAIL LAMP LH,FIESTA,'03,3N21-13404-AA,1,,,,
,FDL011 RA,TAIL LAMP RH,FIESTA,'03,3N21-13405-AA,1,,,,
NO,CODE,DESCRIPTION,MODEL,YEAR,OEM,PCS,NW,GW,M3,PART LINK
1,FDL011 LB,TAIL LAMP LH,FIESTA,'05,3N22-13404-AA,1,,,,
,FDL011 RB,TAIL LAMP RH,FIESTA,'05,3N21-13405-AA,1,,,,
2,FDMR011 LA,DOOR MIRROE LH (SPORT),FIESTA,'03-'05,5N21-17683-ABYYH5,1,,,,
,FDMR011 RA,DOOR MIRROR RH,FIESTA,'03-'05,5N21-17682-ABYYH5,1,,,,
3,FDMR011 LB,DOOR MIRROR LH (ELECTRIC),FIESTA,'03-'05,3N21-17683-CBXWAA,1,,,,
,FDMR011 RB,DOOR MIRROR RH (ELECTRIC),FIESTA,'03-'05,3N21-17682-CBXWAA,1,,,,
4,FDIF011 LA,INNER FENDER LH,FIESTA,'03-'05,3N21-16115-AA,1,,,,
,FDIF011 RA,INNER FENDER RH,FIESTA,'03-'05,3N21-16114-AA,1,,,,
5,FDSP011 NA,COVER FOR FRONT BUMPER,FIESTA,'03-'05,3N21-17A989-AAW,1,,,,
6,FDSP012 NA,COVER FOR REAR BUMPER,FIESTA,'03-'05,3N21-17K835-ABW,1,,,,
7,FDBP011 NA,BACK SPOILER,FIESTA,'03-'05,,1,,,,
8,FDP011 NA,RADIATOR SUPPORT COVER,FIESTA,'03-'05,3M21-F8B384-AB,1,2.00,2.00,0.0200,
9,FDR011 NA,RADIATOR SUPPORT,FIESTA,'03-'05,1N21-F110L76-AB,1,,,,
10,FDBR011 NA,FRONT BUMPER REINFORCEMENT,FIESTA,'03-'05,YS61-A01K43-AA,1,,,,
11,FDDT011 SA,DOOR TRIM SET,FIESTA,'03,YS61-A25532-EBW,1,,,,
12,FDDT011 SB,DOOR TRIM SET,FIESTA,'05,3N21-8A133-ABW,1,,,,
13,FDWC011 NA,"WHEEL COVER 16""",FIESTA,'05,97BG-133,1,,,,
14,EFB011 FD,ELECTRIC FAN,FIESTA,'03-05,3N21-8C607-AD,1,,,,
15,FDRF011 SP,GUIDING FOR RADIATOR,FIESTA,'03-'05,3M21-F8B38-4AB,1,2.00,2.00,0.0300,
16,FDRF011 NA,FAN SHROUD,FIESTA,'03-'05,3N21-8C607-AD,1,,,,
NO,CODE,DESCRIPTION,MODEL,YEAR,OEM,PCS,NW,GW,M3,PART LINK
1,FDB015 NA,FRONT BUMPER ROUND FOG LAMP TYPE,FIESTA,'09-'10,,1,4.00,4.50,0.0500,
2,FDBF015 CA,BUMPER FINISHER CHROME MOULDING LUXURY,FIESTA,'09-'11,,10,3.00,4.00,0.0300,
3,FDBF015 NA,BUMPER FINISHER BK LUXURY 4-5 DOOR,FIESTA,'09-'10,8A61-17B968-D,25,26.50,26.50,0.4348,
4,FDBF015 NB,BUMPER FINISHER BK SPORT,FIESTA,'09-'10,8A61-17B968-A,1,1.03,1.03,0.3376,
5,FDSP015 LA,F. BUMPER FINISHER LH SPORT,FIESTA,'09-'10,8A69-17F909,1,0.07,0.07,0.0020,
,FDSP015 RA,F. BUMPER FINISHER RH SPORT,FIESTA,'09-'10,8A69-17F908,1,0.07,0.07,0.0020,
6,FDB016 NA,REAR BUMPER SEDAN 4 DOOR,FIESTA,'10-'12,DR86-50-YJ2ABB,1,4.50,5.00,0.0600,
7,FDG015 NA,GRILLE BK,FIESTA,'09-'10,8A61-8200BC52CT,1,0.29,0.51,0.0096,
8,FDHL013 LA,HEAD LAMP LH BK,FIESTA,'09-'10,8A69-13W030-AB,2,8.00,9.00,0.1927,
,FDHL013 RA,HEAD LAMP RH BK,FIESTA,'09-'10,8A69-13W029-AB,2,8.00,9.00,0.1927,
9,FDHL013 LB,HEAD LAMP LH EURO CLEAR,FIESTA,'09-'10,8A69-13W030-AB,1,,,,
,FDHL013 RB,HEAD LAMP RH EURO CLEAR,FIESTA,'09-'10,8A69-13W029-AB,1,,,,
10,FDFC015 LA,FOG LAMP COVER,FIESTA,'09-'10,8A6G-15A223-C,100,3.00,3.00,0.0781,
,FDFC015 RA,FOG LAMP COVER,FIESTA,'09-'10,8A6G-15A222-C,100,3.00,3.00,0.0781,
11,FDFC015 LB,FOG LAMP COVER SPORT TYPE,FIESTA,'09-'10,8A69-15A223-C,100,3.00,3.00,0.0781,
,FDFC015 RB,FOG LAMP COVER SPORT TYPE,FIESTA,'09-'10,8A6G-15A222-C,100,3.00,3.00,0.0781,
12,FDFL015 NA,FOG LAMP (R=L),FIESTA,'09-'10,2A11-15201-AB,1,,,,
13,FDL015 LA,TAIL LAMP LH SEDAN,FIESTA,'09-'10,8A69-13405-A,1,,,,
