NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR,manufacturer,part_type,model_series,front/back,location
7,FDHL040 LD,HEAD LAMP BLACK RIM ELECTRIC LHD LH,Ford,RANGER,DL9K-PZKIC-TP,4,10.98,15.25,0.35,"2,013","2,014",,,,,
,FDHL040 RD,HEAD LAMP BLACK RIM ELECTRIC LHD RH,Ford,RANGER,T4NF-GBGBL-GV,4,11.35,15.25,0.34,"2,013","2,014",,,,,
6,FDHL040 LB,HEAD LAMP BLACK RIM MANUAL LHD LH,Ford,RANGER,DTWW-4EHBC-4U,4,10.74,14.87,0.31,"2,013","2,014",,,,,
,FDHL040 RB,HEAD LAMP BLACK RIM MANUAL LHD RH,Ford,RANGER,8Y2T-UJI0X-0N,4,12.68,12.27,0.37,"2,013","2,014",,,,,
5,FDHL040 LA,HEAD LAMP BLACK RIM MANUAL RHD LH,Ford,RANGER,UC9P-51-0L0C,4,9.62,10.74,0.37,"2,013","2,014",,,,,
,FDHL040 RA,HEAD LAMP BLACK RIM MANUAL RHD RH,Ford,RANGER,UC9P-51-0K0C,4,11.92,13.04,0.33,"2,013","2,014",,,,,
11,IZHC049 LB,HEAD LAMP COVER CHROME LH,Isuzu,D-MAX,7EXP-Q9C6C-S6,1,0.32,0.58,0.01,"2,007","2,007",,,,,
,IZHC049 RB,HEAD LAMP COVER CHROME RH,Isuzu,D-MAX,ZTE1-GYFRE-PJ,1,0.31,0.6,0.02,"2,007","2,007",,,,,
12,IZHC049 LC,HEAD LAMP COVER COLOR LH,Isuzu,D-MAX,J1IR-W8Q56-N7,1,23.47,22.69,0.04,"2,007","2,007",,,,,
,IZHC049 RC,HEAD LAMP COVER COLOR RH,Isuzu,D-MAX,YQX6-I7Q15-05,1,3.34,8.23,0.33,"2,007","2,007",,,,,
,IZHC049 RA,HEAD LAMP COVER MAT RH,Isuzu,D-MAX,6GGJ-ZOM1Q-8N,10,7.11,8.14,0.02,"2,007","2,007",,,,,
7,FDHL047 RA,HEAD LAMP CP RIM LH CP BASE,Ford,FOCUS,8M51-13W029-EC,1,9.1,8.2,1,"2,009","2,010",,,,,
,FDHL047 LA,HEAD LAMP CP RIM RH CP BASE,Ford,FOCUS,8M51-13W030-EC,1,11.68,7.48,0.14,"2,009","2,010",,,,,
6,FDHL086 LA,HEAD LAMP HALOGEN LH,Ford,RANGER,N1WZ-13-101B,1,20.54,4.11,0.52,"2,022","2,022",,,,,
,FDHL086 RA,HEAD LAMP HALOGEN RH,Ford,RANGER,N1WZ-13-100B,1,5.29,13.6,0.49,"2,022","2,022",,,,,
7,FDHL089 LA,HEAD LAMP HIGH SPEC LH,Ford,RANGER,N1WZ-13-008DQ,1,7.23,28.54,0.12,"2,022","2,022",,,,,
7,FDHL089 LA,HEAD LAMP HIGH SPEC LH,Ford,RANGER WILDTRAK,N1WZ-13-008DQ,1,8.41,5.17,2.56,"2,022","2,022",,,,,
,FDHL089 RA,HEAD LAMP HIGH SPEC RH,Ford,RANGER,N1WZ-13-008DP,1,12.03,6.84,0.39,"2,022","2,022",,,,,
,FDHL089 RH,HEAD LAMP HIGH SPEC RH,Ford,RANGER WILDTRAK,N1WZ-13-008DP,1,6.83,6.91,0.29,"2,022","2,022",,,,,
12,IZHL059 LA,HEAD LAMP LED LH,Isuzu,DMAX,8-98481-748-0,4,40.41,44.93,0.22,"2,018","2,018",,,,,
,IZHL059 RA,HEAD LAMP LED RH,Isuzu,DMAX,8-98481-747-0,4,40.82,54.23,0.25,"2,018","2,018",,,,,
5,FDHL111 LA,HEAD LAMP LED W/TWO PROJECTORS LH,Ford,RANGER RAPTOR,YPAG-0QE7Y-HZ,1,1.8,24.2,0.12,"2,022","2,022",,,,,
,FDHL111 RA,HEAD LAMP LED W/TWO PROJECTORS RH,Ford,RANGER RAPTOR,QCXY-X8V6L-9W,1,9.13,4.42,1.98,"2,022","2,022",,,,,
,FDHL065 RA,HEAD LAMP LH,Ford,ECOSPORT,CN15-13-W029EB,1,2.01,8.82,1.52,"2,013","2,016",,,,,
7,FDHL011 LA,HEAD LAMP LH,Ford,FIESTA,3N21-13006-AA,1,10,0.5,0.83,"2,003","2,003",,,,,
8,FDHL011 LB,HEAD LAMP LH,Ford,FIESTA,5N21-13006-AA,1,15.43,11.02,0.31,"2,005","2,005",,,,,
7,FDHL017 LA,HEAD LAMP LH,Ford,FIESTA,D5BB-13W030-E,1,11.58,11.77,0.48,"2,013","2,014",,,,,
4,FDHL041 LA,HEAD LAMP LH,Ford,FORD-FOCUS,5M51-13W030-CC,1,2.46,19.84,0.31,"2,005","2,005",,,,,
10,FDHL029 LA,HEAD LAMP LH,Ford,RANGER,UH77-51-040B,1,3.86,9.69,0.27,"1,999","2,001",,,,,
12,UM48-51-0L0A,HEAD LAMP LH,Ford,FORD RANGER,UM48-51-0L0A,1,1.28,1.22,0.02,"2,002","2,005",,Head Lamp,,Front,Left Side
13,FDHL035 LA,HEAD LAMP LH,Ford,DURATORQ,UR87-51-0L0,8,9.55,10.47,0.2,"2,006","2,007",,,,,
13,EB3B-13-W030 SM,HEAD LAMP LH,Ford,RANGER,EB3B13W030 SM,1,22.15,15.91,0.73,"2,015","2,017",,Head Lamp,,Front,Left Side
5,CVHL021 LA,HEAD LAMP LH,GMC,SIERRA,ELX1-73UL5-6D,1,12.27,10.87,1.7,"2,016","2,017",,,,,
3,8-98101-320-0,HEAD LAMP LH ( 4 BULBS ),Isuzu,D-MAX,8-98101-320-0,1,2.07,3.67,0.07,"2,009","2,009",,Head Lamp,,Front,Left Side
11,FDHL029 LB,HEAD LAMP LH 3 LEGS( LHD ),Ford,RANGER,FDHL029 LB,1,5.23,22.75,0.88,"1,999","1,999",,,,,
12,FDHL029 LC,HEAD LAMP LH 4 LEGS (LHD),Ford,RANGER,B0B2-964NM-0O,1,16.75,10.58,1.48,"1,999","1,999",,,,,
8,FDHL013 LA,HEAD LAMP LH BK,Ford,FIESTA,8A69-13W030-AB,2,8.75,9.61,0.16,"2,009","2,010",,,,,
8,AB39-13-101AE,HEAD LAMP LH BK OEM,Ford,RANGER,AB39-13-101AE,1,2.69,3.53,0.09,"2,013","2,013",,Head Lamp,,Front,Left Side
11,UC9P-51-0L0C,HEAD LAMP LH BK OEM,Ford,RANGER,UC9P-51-0L0C,1,2.6,4.09,0.08,"2,013","2,013",,Head Lamp,,Front,Left Side
9,FDHL037 LA,HEAD LAMP LH E-MARK,Ford,DURATORQUE,UD2D-51-0L0A,4,6.56,7.81,0.13,"2,009","2,011",,,,,
9,FDHL013 LB,HEAD LAMP LH EURO CLEAR,Ford,FIESTA,8A69-13W030-AB,1,20.23,8.29,0.81,"2,009","2,010",,,,,
11,FDHL031 LA,HEAD LAMP LH LA,Ford,RANGER,UM46-51-0L0A,1,2.73,3.25,0.03,"2,002","2,005",,,,,
1,IZHL037 LA,HEAD LAMP LH MANUAL,Isuzu,D MAX,8-97237-496-2,6,18.65,8.36,0.18,"2,002","2,003",,,,,
3,IZHL037 LC,HEAD LAMP LH MANUAL W/CITY HOLE,Isuzu,D'MAX,8-97332-445-0,6,9.92,8.9,0.14,"2,003","2,005",,,,,
5,FDHL041 LB,HEAD LAMP LH MB RIM,Ford,FORD-FOCUS,5M51-13W030-AB,1,10.82,3.78,0.87,"2,005","2,005",,,,,
9,AB39-13-101EE,HEAD LAMP LH OEM,Ford,RANGER,AB39-13-101EE,1,2.62,3.99,0.08,"2,011","2,012",,Head Lamp,,Front,Left Side
10,UC9P-51-0L0,HEAD LAMP LH OEM,Ford,RANGER,UC9P-51-0L0,1,2.53,3.99,0.07,"2,012","2,012",,Head Lamp,,Front,Left Side
10,UD7R-51-0L0,HEAD LAMP LH PK,Ford,RANGER,UD7R-51-0L0,1,2.17,3.25,0.06,"2,009","2,011",,Head Lamp,,Front,Left Side
,FDHL047 LC,HEAD LAMP LH PROJECTOR BK BASE,Ford,FOCUS,8M51-13W030-EC,1,5.94,34.58,0.53,"2,009","2,010",,,,,
11,IZHL029 LA,HEAD LAMP LH RHD SINGLE,Isuzu,TFR DRAGON EYE,8-97917-420-0,6,13.68,14.74,0.12,"1,999","1,999",,,,,
,FDHL047 LB,HEAD LAMP LH SPORT BK BASE,Ford,FOCUS,8M51-13W030-EC,1,3.22,4.26,0.03,"2,009","2,010",,,,,
13,UM81-51-0L0B,HEAD LAMP LH UNIT,Ford,RANGER,UM81510L0B,1,1.08,4.39,2.76,"2,005","2,005",,Head Lamp,,Front,Left Side
4,IZHL037 LD,HEAD LAMP LH W/O CAP 2 HOLE,Isuzu,D-MAX,U32D-VY7RL-QF,6,8.64,22.66,0.19,"2,004","2,005",,,,,
5,IZHL037 LE,HEAD LAMP LH W/O CAP 3 HOLE,Isuzu,D-MAX,M9A4-7QM7M-1Q,6,8.25,19.55,0.17,"2,004","2,006",,,,,
6,FDHL041 LC,HEAD LAMP LH XENON,Ford,FORD-FOCUS,5M51-13W030-CC,1,2.09,16.52,0.34,"2,005","2,005",,,,,
11,8-97302-099-3,HEAD LAMP LH(XENON),Isuzu,ISUZU DMAX,8-97302-099-3,1,19.11,0.41,0.38,"2,005","2,006",,Head Lamp,,Front,Left Side
12,8-97332-371-0,HEAD LAMP LH(XENON)UNIT,Isuzu,ISUZU DMAX,8-97332-371-0,1,1.7,3.2,0.06,"2,005","2,006",,Head Lamp,,Front,Left Side
2,IZHL037 LB,HEAD LAMP LHD ELECTRIC,Isuzu,D-MAX,8-97357-326-0/GM-97357326,6,14.13,7.66,0.17,"2,004","2,005",,,,,
,IZHL037 RB,HEAD LAMP LHD ELECTRIC,Isuzu,D-MAX,8-97237-501-3/GM-97237501,6,3.44,4.39,0.17,"2,004","2,005",,,,,
4,FDHL039 LD,HEAD LAMP LHD ELECTRIC LH CLEAR,Ford,RANGER,6QB7-KMB3J-4M,4,6.4,7.77,0.12,"2,012","2,013",,,,,
,FDHL039 RD,HEAD LAMP LHD ELECTRIC RH CLEAR,Ford,RANGER,A4VW-BL1S1-9B,4,6.06,8.37,0.12,"2,012","2,013",,,,,
15,IZHL047 LC,HEAD LAMP LHD LH 3 HOLE WITH CITY LAMP,Isuzu,D-MAX,8-98111-652-0,4,9.95,9.69,0.1,"2,007","2,008",,,,,
14,IZHL047 LB,HEAD LAMP LHD LH ELECTRICAL TYPE,Isuzu,D-MAX,8-98111-756-0,4,6.21,7.55,0.08,"2,007","2,008",,,,,
2,FDHL081 LB,HEAD LAMP LHD MANUAL LH,Ford,RANGER,00NJ-9TIWX-37,1,0.78,1.13,0.04,"2,015","2,015",,,,,
2,FDHL039 LB,HEAD LAMP LHD NORMAL LH CLEAR,Ford,RANGER,OR5W-4ONUM-J3,4,6.28,16.19,0.31,"2,012","2,013",,,,,
,FDHL039 RB,HEAD LAMP LHD NORMAL RH CLEAR,Ford,RANGER,45XZ-HSL46-BT,4,5.9,7.26,0.11,"2,012","2,013",,,,,
10,IZHL053 LB,HEAD LAMP LHD NORMAL UNIT LH,Isuzu,D-MAX,8-98125-392-5,1,2.83,2.99,0.03,"2,012","2,016",,,,,
,IZHL053 RB,HEAD LAMP LHD NORMAL UNIT RH,Isuzu,D-MAX,8-98125-391-5,1,2.92,3.21,0.05,"2,012","2,016",,,,,
14,IZHL055 LD,HEAD LAMP LHD PROJECTOR ELECTRIC LH,Isuzu,D-MAX,8-98186-200-1,4,12.3,12.89,0.2,"2,012","2,016",,,,,
,IZHL055 RD,HEAD LAMP LHD PROJECTOR ELECTRIC RH,Isuzu,D-MAX,8-98186-200-0,4,11.61,14.52,0.24,"2,012","2,016",,,,,
12,IZHL055 LB,HEAD LAMP LHD PROJECTOR MANUAL LH,Isuzu,D-MAX,8-98125-381-5,4,11.64,13.63,0.22,"2,012","2,016",,,,,
,IZHL055 RB,HEAD LAMP LHD PROJECTOR MANUAL RH,Isuzu,D-MAX,8-98125-380-5,4,10.74,14.66,0.24,"2,012","2,016",,,,,
,IZHL047 RC,HEAD LAMP LHD RH 3 HOLE WITH CITY LAMP,Isuzu,D-MAX,20-B433-05-6B,4,5.78,7.58,0.07,"2,007","2,008",,,,,
,IZHL047 RB,HEAD LAMP LHD RH ELECTRICAL TYPE,Isuzu,D-MAX,20-B433-A5-6B,4,6.97,7.26,0.07,"2,007","2,008",,,,,
10,IZHL057 LA,HEAD LAMP MANUAL LH,Isuzu,DMAX,8-98276-305-0,1,2.57,3.27,0.05,"2,016","2,016",,,,,
,FDHL081 RB,HEAD LAMP MANUAL LHD RH,Ford,RANGER,M0UQ-CBT16-IU,1,0.74,0.98,0.04,"2,015","2,015",,,,,
,IZHL057 RA,HEAD LAMP MANUAL RH,Isuzu,DMAX,8-98276-306-0,1,2.34,3.38,0.04,"2,016","2,016",,,,,
2,8-97374-643-1,HEAD LAMP NORMAL ASSY LH,Isuzu,DMAX,8-97374-643-1,1,0.07,2.2,4.78,"2,007","2,007",,Head Lamp,,Front,Left Side
,8-97374-642-1,HEAD LAMP NORMAL ASSY RH,Isuzu,DMAX,8-97374-642-1,1,0.07,2.43,4.6,"2,007","2,007",,Head Lamp,,Front,Left Side
18,8-97388-661-2,HEAD LAMP PROJECTOR ASSY LH,Isuzu,DMAX,8-97388-661-2,1,2.74,4.1,0.07,"2,007","2,008",,Head Lamp,,Front,Right Side
,8-97388-660-2,HEAD LAMP PROJECTOR ASSY RH,Isuzu,DMAX,8-97388-660-2,1,2.29,4.17,0.07,"2,007","2,008",,Head Lamp,,Front,Left Side
11,IZHL057 LB,HEAD LAMP PROJECTOR LH,Isuzu,DMAX,8-98364-691-0,4,37.72,49.34,0.43,"2,016","2,016",,,,,
17,IZHL049 LC,HEAD LAMP PROJECTOR LH RHD W/CITY LAMP HOLE,Isuzu,D-MAX,8-98080-006-0,6,7.72,9.23,0.13,"2,007","2,009",,,,,
,IZHL057 RB,HEAD LAMP PROJECTOR RH,Isuzu,DMAX,8-98364-690-0,4,40.77,56.82,0.24,"2,016","2,016",,,,,
,IZHL049 RC,HEAD LAMP PROJECTOR RH RHD W/ CITY LAMP HOLE,Isuzu,D-MAX,8-98080-005-0,6,7.87,9.77,0.12,"2,007","2,009",,,,,
13,FDHL065 LA,HEAD LAMP RH,Ford,ECOSPORT,CN15-13-W030EB,1,8.24,12.19,0.23,"2,013","2,016",,,,,
,FDHL011 RA,HEAD LAMP RH,Ford,FIESTA,3N21-13005-AA,1,14.75,0.39,0.07,"2,003","2,003",,,,,
,FDHL011 RB,HEAD LAMP RH,Ford,FIESTA,5N21-13006-AA,1,0.28,1.45,0.28,"2,005","2,005",,,,,
,FDHL017 RA,HEAD LAMP RH,Ford,FIESTA,D5BB-13W029-A,1,5.64,4.15,0.09,"2,013","2,014",,,,,
,FDHL041 RA,HEAD LAMP RH,Ford,FORD-FOCUS,5M51-13W029-CC,1,11.94,11.03,1.69,"2,005","2,005",,,,,
,FDHL029 RA,HEAD LAMP RH,Ford,RANGER,UH77-51-030B,1,5.12,16.08,1.87,"1,999","2,001",,,,,
,FDHL035 RA,HEAD LAMP RH,Ford,DURATORQ BT50,UR87-51-0K0,8,8.71,12.2,0.24,"2,006","2,007",,,,,
,FDHL037 RA,HEAD LAMP RH,Ford,DURATORQUE,UD2D-51-0K0A,2,5.7,9.03,0.18,"2,009","2,011",,,,,
,EB3B-13-W029 SM,HEAD LAMP RH,Ford,RANGER,EB3B13W029 SM,1,3.89,5.91,0.39,"2,015","2,017",,Head Lamp,,Front,Right Side
,CVHL021 RA,HEAD LAMP RH,GMC,SIERRA,BADV-NGJMP-JL,1,2.3,0.33,0.41,"2,016","2,017",,,,,
,8-98101-319-0,HEAD LAMP RH ( 4 BULBS ),Isuzu,D-MAX,8-98101-319-0,1,2.15,4.14,0.08,"2,009","2,009",,Head Lamp,,Front,Right Side
,FDHL029 RB,HEAD LAMP RH 3 LEGS( LHD ),Ford,RANGER,FDHL029 RB,1,1.12,1.59,0.12,"1,999","1,999",,,,,
,FDHL029 RC,HEAD LAMP RH 4 LEGS (LHD),Ford,RANGER,JON4-HSE5L-9B,1,10.72,1.2,0.29,"1,999","1,999",,,,,
,FDHL013 RA,HEAD LAMP RH BK,Ford,FIESTA,8A69-13W029-AB,2,8.15,9.43,0.18,"2,009","2,010",,,,,
,AB39-13-100AE,HEAD LAMP RH BK OEM,Ford,RANGER,AB39-13-100AE,1,2.67,3.37,0.07,"2,012","2,012",,Head Lamp,,Front,Single Part
,UC9P-51-0K0C,HEAD LAMP RH BK OEM,Ford,RANGER,UC9P-51-0K0C,1,2.55,3.77,0.08,"2,013","2,013",,Head Lamp,,Front,Right Side
,FDHL041 RB,HEAD LAMP RH BK RIM,Ford,FORD-FOCUS,5M51-13W029-AB,1,17.28,15.46,0.34,"2,005","2,005",,,,,
,FDHL013 RB,HEAD LAMP RH EURO CLEAR,Ford,FIESTA,8A69-13W029-AB,1,1.5,3.93,0.59,"2,009","2,010",,,,,
,IZHL037 RA,HEAD LAMP RH MANUAL,Isuzu,D MAX,8-97237-495-2,6,11.02,16.94,0.16,"2,002","2,003",,,,,
,IZHL037 RC,HEAD LAMP RH MANUAL W/CITY HOLE,Isuzu,D'MAX,8-97332-444-0,6,9.1,9.04,0.15,"2,003","2,005",,,,,
,AB39-13-100EE,HEAD LAMP RH OEM,Ford,RANGER,AB39-13-100EE,1,2.55,3.99,0.08,"2,011","2,012",,Head Lamp,,Front,Right Side
,UC9P-51-0K0,HEAD LAMP RH OEM,Ford,RANGER,UC9P-51-0K0,1,2.34,4.01,0.07,"2,012","2,012",,Head Lamp,,Front,Right Side
,UM48-51-0K0A,HEAD LAMP RH PG,Ford,FORD RANGER,UM48-51-0K0A,1,0.8,1.57,0.17,"2,002","2,005",,Head Lamp,,Front,Right Side
,UD7R-51-0K0,HEAD LAMP RH PK,Ford,RANGER,UD7R-51-0K0,1,2.48,3.67,0.06,"2,009","2,011",,Head Lamp,,Front,Right Side
9,FDHL047 RC,HEAD LAMP RH PROJECTOR BK BASE,Ford,FOCUS,8M51-13W029-EC,1,8.28,23.01,0.25,"2,009","2,010",,,,,
,FDHL031 RA,HEAD LAMP RH RA,Ford,RANGER,UM46-51-0K0A,1,2.52,3.07,0.03,"2,002","2,005",,,,,
,IZHL029 RA,HEAD LAMP RH RHD SINGLE,Isuzu,TFR DRAGON EYE,8-97917-419-0,6,15.77,15.38,0.11,"1,999","1,999",,,,,
8,FDHL047 RB,HEAD LAMP RH SPORT BK BASE,Ford,FOCUS,8M51-13W029-EC,1,6.69,25.22,0.64,"2,009","2,010",,,,,
,UM81-51-0K0B,HEAD LAMP RH UNIT,Ford,RANGER,UM81510K0B,1,13.16,5.73,0.86,"2,005","2,005",,Head Lamp,,Front,Right Side
,IZHL037 RD,HEAD LAMP RH W/O CAP 2 HOLE,Isuzu,D-MAX,75I2-Z1BS5-JN,6,9.16,7.39,0.19,"2,004","2,005",,,,,
,IZHL037 RE,HEAD LAMP RH W/O CAP 3 HOLE,Isuzu,D-MAX,LR7J-HSMSW-KY,6,5.1,14.71,0.15,"2,004","2,005",,,,,
,FDHL041 RC,HEAD LAMP RH XENON,Ford,FORD-FOCUS,5M51-13W029-CC,1,8.55,9.21,0.46,"2,005","2,005",,,,,
,8-97302-098-3,HEAD LAMP RH(XENON)ASSY,Isuzu,ISUZU DMAX,8-97302-098-3,1,8.47,5.08,2.21,"2,005","2,006",,Head Lamp,,Front,Right Side
,8-97332-370-0,HEAD LAMP RH(XENON)UNIT,Isuzu,ISUZU DMAX,8-97332-370-0,1,1.56,3.28,0.05,"2,005","2,006",,Head Lamp,,Front,Right Side
1,FDHL081 LA,HEAD LAMP RHD (G) W/DRAGON EYE LH,Ford,RANGER,EB3B-13-W030SM,1,0.82,1.02,0.04,"2,015","2,015",,,,,
,FDHL081 RA,HEAD LAMP RHD (G) W/DRAGON EYE RH,Ford,RANGER,EB3B-13-W029SM,1,0.79,1.01,0.04,"2,015","2,015",,,,,
3,FDHL039 LC,HEAD LAMP RHD ELECTRIC LH CLEAR,Ford,RANGER,BGQZ-UFC8B-TF,4,6.45,7.9,0.13,"2,012","2,013",,,,,
,FDHL039 RC,HEAD LAMP RHD ELECTRIC RH CLEAR,Ford,RANGER,I836-JXAK5-V6,4,5.34,8.8,0.11,"2,012","2,013",,,,,
13,IZHL047 LA,HEAD LAMP RHD LH 3 HOLE W/ CITY LAMP HOLE,Isuzu,D-MAX,8-98111-756-0,4,5.88,7.05,0.09,"2,007","2,008",,,,,
1,FDHL039 LA,HEAD LAMP RHD NORMAL LH CLEAR,Ford,RANGER,UF9T-50-0L0C,4,5.22,8.26,0.3,"2,012","2,013",,,,,
,FDHL039 RA,HEAD LAMP RHD NORMAL RH CLEAR,Ford,RANGER,FUEC-N5RRZ-SH,4,6.5,8.67,0.13,"2,012","2,013",,,,,
9,IZHL053 LA,HEAD LAMP RHD NORMAL UNIT LH,Isuzu,D-MAX,8-98186-215-0,1,2.59,3.47,0.05,"2,012","2,016",,,,,
,IZHL053 RA,HEAD LAMP RHD NORMAL UNIT RH,Isuzu,D-MAX,8-98186-216-0,1,2.87,3.11,0.05,"2,012","2,016",,,,,
13,IZHL055 LC,HEAD LAMP RHD PROJECTOR ELECTRIC LH,Isuzu,D-MAX,I6X8-GLIVZ-L7,4,12.03,13.85,0.24,"2,012","2,016",,,,,
,IZHL055 RC,HEAD LAMP RHD PROJECTOR ELECTRIC RH,Isuzu,D-MAX,MFFX-HC1Y0-ZQ,4,11.78,13.13,0.25,"2,012","2,016",,,,,
11,IZHL055 LA,HEAD LAMP RHD PROJECTOR MANUAL LH,Isuzu,D-MAX,8-98125-383-5,4,8.93,11.84,0.19,"2,012","2,016",,,,,
,IZHL055 RA,HEAD LAMP RHD PROJECTOR MANUAL RH,Isuzu,D-MAX,8-98125-382-5,4,10.43,13.14,0.21,"2,012","2,016",,,,,
,IZHL047 RA,HEAD LAMP RHD RH 3 HOLE W/ CITY LAMP HOLE,Isuzu,D-MAX,8-98111-755-0,4,5.95,7.6,0.08,"2,007","2,008",,,,,
9,FDHL011 LC,HEAD LAMP SPORT TYPE LH,Ford,FIESTA,5N21-13006-CA,1,7.53,2.74,0.2,"2,005","2,005",,,,,
,FDHL011 RC,HEAD LAMP SPORT TYPE RH,Ford,FIESTA,5N21-13005-CA,1,10.92,0.7,0.33,"2,005","2,005",,,,,
14,UD2D-50-161B,HEAD LAMP SUPPORT (BIG) LH,Ford,RANGER,UD2D-50-161B,1,0.2,0.19,0,"2,008","2,008",,Head Lamp,,Front,Left Side
,UD2D-50-151B,HEAD LAMP SUPPORT (BIG) RH,Ford,RANGER,UD2D-50-151B,1,0.21,0.2,0,"2,008","2,008",,Head Lamp,,Front,Right Side
1,8-98011-842-0,HEAD LAMP UNIT LH PROJECTOR W/O CITY LAMP HOLE,Isuzu,DMAX COMMONRAIL,8-98011-842-0,1,2.44,4.91,0.07,"2,006","2,009",,Head Lamp,,Front,Left SIde
11,IZHL051 LA,HEAD LAMP UNIT LHD LH CLEAR REFLECTOR,Isuzu,D-MAX,KFL4-2ARVM-ZX,1,7.03,11.79,0.86,"2,008","2,010",,,,,
,IZHL051 RA,HEAD LAMP UNIT LHD RH CLEAR REFLECTOR,Isuzu,D-MAX,ZIMH-N6OX6-6K,1,4.35,14.62,1.14,"2,008","2,010",,,,,
,IZHL049 LA,HEAD LAMP UNIT PROJECTOR LHD LH W/CITY LAMP HOLE LHD,Isuzu,D-MAX,8-98080-005-0,6,7.87,11.06,0.13,"2,007","2,009",,,,,
16,IZHL049 RA,HEAD LAMP UNIT PROJECTOR LHD RH W/CITY LAMP HOLE LHD,Isuzu,D-MAX,8-98079-991-0,6,6.82,9.99,0.12,"2,007","2,008",,,,,
,8-98011-841-0,HEAD LAMP UNIT RH PROJECTOR W/O CITY LAMP HOLE,Isuzu,DMAX COMMONRAIL,8-98011-841-0,1,2.59,4.56,0.06,"2,006","2,009",,Head Lamp,,Front,Right Side
12,IZHL051 LC,HEAD LAMP UNIT RHD LH CLEAR REFLECTOR,Isuzu,D-MAX,8-98080-001-0,1,20.54,3.37,1.57,"2,008","2,010",,,,,
,IZHL051 RC,HEAD LAMP UNIT RHD RH CLEAR REFLECTOR,Isuzu,D-MAX,8-98080-002-0,1,3.04,13.4,1.59,"2,008","2,010",,,,,
,DN28-51-030J,HEADLAMP ASSY RH,Ford,FIESTA (B299),DN28-51-030J,1,2.24,4.65,0.07,"2,011","2,011",,Head Lamp,,Front,Right Side
13,IZHC049 SB,HEADLIGHT COVER CP SET,Isuzu,D-MAX,9GRL-PBZ7H-49,1,13.81,11.67,0.25,"2,006","2,008",,,,,
3,UH83-68-030F,HEADLINING ROOF,Ford,RANGER,UH83-68-030F,1,6.79,9.8,0.27,"2,003","2,003",,Head Lamp,,Front,Right Side
5,FDH017 NA,HOOD,Ford,FIESTA,PD6B-BA-16610AB,1,11.73,15.28,0.11,"2,013","2,014",,,,,
8,FDH103 NA,HOOD,Ford,FIGO,"1,906,588",1,16.73,16.85,0.11,"2,016","2,016",,,,,
10,UH77-52-310G,HOOD,Ford,FORD RANGER,UH77-52-310G,1,16.05,15.07,0.15,"2,000","2,000",,Cabin Roof Panel,,Front,Single Part
4,FDH037 NA,HOOD,Ford,RANGER,UD2D-52-310,1,4.01,10.51,0.15,"2,009","2,010",,,,,
15,FDH039 NA,HOOD,Ford,RANGER,UC9M-52-310B,1,17.57,23.62,0.11,"2,011","2,012",,,,,
12,FDH081 NA,HOOD,Ford,RANGER,EB3B16610AF,1,20.43,23.59,0.12,"2,015","2,017",,,,,
7,FDH111 NA,HOOD,Ford,RANGER RAPTOR,W564-NJSMD-NC,1,6.27,0.73,0.19,"2,022","2,022",,,,,
3,FDH087 NA,HOOD,Ford,RANGER,N1WZ-166-12J,1,8.49,10.67,0.19,"2,022","2,022",,,,,
16,IZH055 NA,HOOD,Isuzu,D-MAX,8-98193-817-0,1,19.25,18.15,0.17,"2,012","2,016",,,,,
2,IZH057 NA,HOOD,Isuzu,D-MAX,8-98272-738-2,1,16.65,17.06,0.17,"2,016","2,016",,,,,
1,IZH063 NA,HOOD,Isuzu,D-MAX,8-98386-208-4,1,26.79,28.98,0.07,"2,019","2,023",,,,,
1,IZH063 NA,HOOD,Isuzu,D-MAX,8-98386-208-4,1,21.82,27.79,0.06,"2,019","2,023",,,,,
17,8-98193-817-0,HOOD 2WD / 4WD,Isuzu,D-MAX,8-98193-817-0,1,10.22,14.71,0.32,"2,012","2,016",,Hood,,Front,Single Part
3,IZH024 NA,HOOD '97-'98,Isuzu,TFR,8-97912-164-0,1,12.1,13.15,0.09,"1,997","1,998",,,,,
7,PCN1-5N-16612CA,HOOD ASSY,Ford,ECOSPORT,PCN1-5N-16612CA,1,14.72,24.79,0.55,"2,013","2,016",,Hood,,Front,Single Part
9,FDH029 NA,HOOD E.D.P.,Ford,FORD RANGER,UH77-52-310E,1,11.71,14.02,0.08,"1,999","2,002",,,,,
18,FDH031 NA,HOOD EDP,Ford,RANGER,UM46-52-310E,1,8.06,9.87,0.14,"2,002","2,005",,,,,
3,FDH035 NA,HOOD EDP,Ford,DURATORQUE,UR87-52-310,1,8.15,10.36,0.14,"2,006","2,009",,,,,
2,FDHG111 LA,HOOD GARNISH LH,Ford,RANGER RAPTOR,CJKR-HMPRT-YD,1,5.34,14.9,1.23,"2,022","2,022",,,,,
,FDHG111 RA,HOOD GARNISH RH,Ford,RANGER RAPTOR,7PQY-48S5T-67,1,16.42,6.9,0.93,"2,022","2,022",,,,,
8,FDHI039 NA,HOOD INSULATOR,Ford,RANGER,UC9P-56-680B,1,5.34,13.04,1.39,"2,012","2,012",,,,,
