NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR,manufacturer,part_type,model_series,front/back,location
,8-98222-285-2,DAY LIGHT RA,Isuzu,D-MAX,8-98222-285-2,1,0.74,0.92,0.01,"2,012","2,016",,Room Lamp,,Front,Right Side
6,FDDC039 NB,"DECK SPEED COVER MANUAL BLACK
COLOR DOUBLE CAB 45 DEGREE",Ford,RANGER,M6Q7-QKZ2U-YL,1,1.77,8.61,1.93,"2,011","2,011",,,,,
5,FDDC039 NA,"DECK SPEED COVER MANUAL BLACK
COLOR SINGLE CAB 45 DEGREE",Ford,RANGER,6WMJ-Z6BJH-MM,1,3.56,5.42,0.2,"2,011","2,011",,,,,
,FDMD041 LA,DECORATIVE FOR MIRROR LH,Ford,FOCUS 4/5 Drs,4M51A16004-AD,1,15.75,22.14,1.91,"2,005","2,010",,,,,
14,FDMD041 RA,DECORATIVE FOR MIRROR RH,Ford,FOCUS 4/5 Drs,4M51A16003-AD,1,8.64,5.31,0.71,"2,005","2,010",,,,,
8,EB3B-8B-407AA,DEFLECTOR,Ford,RANGER,EB3B-8B-407AA,1,7.16,12.8,0.54,"2,015","2,015",,Tail Lamp,,Back,Center
10,UF0L-62-020,DOOR ASSY LIFTGATE,Ford,EVEREST,UF0L-62-020,1,12.22,1.44,0.41,"2,011","2,014",,Door,,Front,Center
6,FDDT115 F LA,DOOR CLADING FRONT LH,Ford,TAURUS,AG1Z-5420879-AA,10,0.03,10.69,10.52,"2,010","2,019",,,,,
,FDDT115 F RA,DOOR CLADING FRONT RH,Ford,TAURUS,AG1Z-5420878-AA,10,0.03,8.5,12.11,"2,010","2,019",,,,,
7,FDDT115 R LA,DOOR CLADING REAR LH,Ford,TAURUS,AG1Z-5425557-AA,10,0.03,10.01,12.94,"2,010","2,019",,,,,
,FDDT115 R RA,DOOR CLADING REAR RH,Ford,TAURUS,AG1Z-5425556-AA,10,0.03,10.32,11.02,"2,010","2,019",,,,,
16,UR56-59-511A,DOOR GLASS FRT/LH 4 DOOR,Ford,RANGER,UR56-59-511B,1,3.45,4.06,0.07,"2,007","2,007",,Door,,Front,Left Side
,UR56-58-511A,DOOR GLASS FRT/RH 4 DOOR,Ford,RANGER,UR56-58-511B,1,3.26,4.02,0.06,"2,007","2,007",,Door,,Front,Right Side
2,IZDH049 NA,DOOR HANDLE COVER 2DR,Isuzu,D-MAX,9O3M-6ODMM-62,1,5.98,11.01,0.44,"2,007","2,007",,,,,
