NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR
13.0,FDBR065 NA,FRONT REINFORCEMENT,Ford,ECOSPORT,CN15-17E778-AC,1,1.33434576577706,1.55203083528572,0.0085283027147609,2013,2016
14.0,YL8Z-6A-642BA,"COOLER,OIL",Ford,ECOSPORT,YL8Z-6A-642BA,1,13.961414359404252,19.746178167299316,0.2042499219996654,2013,2016
15.0,AV11-19-710KA,AC CONDENSER,Ford,ECOSPORT,AV1Z-19-712C,1,2.3749817715473696,2.994470662149638,0.0485974968860995,2015,2018
16.0,CN15-8B-384AB,AIR GUIDE LOWER,Ford,ECOSPORT,CN15-8B-384AB,1,1.1115154653667298,1.209163233954046,0.0212022659616061,2015,2018
17.0,CN15-17-402BA,REAR WIPER BLADE,Ford,ECOSPORT,CN15-17-402BA,1,0.0700919693156996,0.3380160462100633,0.0001106181808064,2015,2018
18.0,CN15-17-C403BB,REAR WIPER ARM ASSY.,Ford,ECOSPORT,CN15-17-C403BB,1,0.2049722946634196,0.2476758305160153,0.3329657923872481,2015,2018
1.0,CN15-17-E731AA,LH SIDE MIRROR LOWER COVER,Ford,ECOSPORT,CN15-17-E731AA,1,0.0415691906061831,0.0853559659015322,0.0010772399146188,2015,2018
,CN15-17-E730AA,RH SIDE MIRROR LOWER COVER,Ford,ECOSPORT,CN15-17-E730AA,1,0.0373306521547361,0.0839797947591966,0.0011083786621384,2015,2018
2.0,CN15-A0-01A04AA,AIR GUIDE UPPER,Ford,ECOSPORT,CN15-A0-01A04AA,1,0.2472716031170262,0.3606816779085443,0.0151270213559569,2015,2018
3.0,FDBS065 LA,FRONT BUMPER BRACKET LH,Ford,ECOSPORT,CN15-17A870-AD,1,1.779957372829112,19.380187662273247,0.3779205677666905,2013,2013
,FDBS065 RA,FRONT BUMPER BRACKET RH,Ford,ECOSPORT,CN15-17A869-AD,1,9.05346551917487,3.057053700437624,1.6198404788777276,2013,2013
1.0,GN1Z-17757-BE,FRONT BUMPER,Ford,ECOSPORT,GN1Z-17757-BE,1,8.386864086277086,3.7726005009052415,0.5415069197940778,2018,2018
2.0,GN1Z-17D957-JB,FRONT BUMPER LOWER,Ford,ECOSPORT,GN1Z-17D957-JB,1,10.163121199319438,5.521775991414235,2.0526411230633896,2018,2018
3.0,GN1Z-17D957-MB,COVER FRONT BUMPER LH,Ford,ECOSPORTS,GN1Z-17D957-MB,1,2.760137446016644,18.49746694506268,0.2447908535886112,2018,2018
,GN1Z-17D957-RB,COVER FRONT BUMPER RH,Ford,ECOSPORTS,GN1Z-17D957-RB,1,0.1279918906639434,7.748997518238712,0.2910925226099474,2018,2018
4.0,GN1Z-17626-BD,PANEL FRONT BUMPER LOWER,Ford,ECOSPORTS,GN1Z-17626-BD,1,13.267103905478203,4.205737263872233,0.4181511117058886,2018,2018
1.0,UBYL-50-03Y,FRONT BUMPER LOWER WITH HOLE,Ford,EVEREST,UBYL-50-03Y,1,2.090503700862804,2.333603029992755,0.1812352955680987,2006,2008
2.0,UA6G-50-710B,GRILLE OEM.,Ford,EVEREST,UA6G-50-710B,1,2.758818049996547,3.294810057700861,0.057838723063695,2006,2007
1.0,UF6A-51-0L0,"UNIT(L),HEAD LAMP",Ford,EVEREST,UF6A-51-0L0,1,13.085530402005649,6.325124204920373,0.9910418564865277,2011,2014
,UF6A-51-0K0,"UNIT(R),HEAD LAMP",Ford,EVEREST,UF6A-51-0K0,1,17.160845724653754,12.020039309392068,0.358108264079344,2011,2014
2.0,UK8K-51-0L0,HEAD LAMP ASSY LH,Ford,EVEREST,UK8K-51-0L0,1,0.6664213504626917,0.9812804054834684,0.0809544608253926,2012,2015
,UK8K-51-0K0,HEAD LAMP ASSY RH,Ford,EVEREST,UK8K-51-0K0,1,0.8143473776720257,1.0368332183708908,0.0910006541616633,2012,2015
3.0,UF0M-50-C21B,"COVER(LH), FOG LAMP",Ford,EVEREST,UF0M-50-C21B,1,18.09140013914444,6.583202452117732,2.36121059160126,2011,2014
,UF0M-50-C11B,"COVER(RH), FOG LAMP",Ford,EVEREST,UF0M-50-C11B,1,1.5126291277978308,6.051580537050793,0.4182310987981777,2011,2014
4.0,UP21-51-250A,"LAMP(L),BACK UP",Ford,EVEREST,UP21-51-250A,1,13.172890124332834,1.0500936403117829,0.1505882874876862,2011,2014
,UP21-51-240A,"LAMP(R),BACK UP",Ford,EVEREST,UP21-51-240A,1,3.0807388244307963,6.812256512084331,0.1285940617607675,2011,2014
5.0,UF0L-51-580B,STOP LAMP (HMSL - S*,Ford,EVEREST,UF0L-51-580B,1,13.794575067076783,4.54900945357655,0.3450259232525698,2011,2014
6.0,UF0L-51-160A,"LAMP(L),RR COMB. *",Ford,EVEREST,UF0L-51-160A,1,1.2061365411527452,17.457842620172638,0.393353108199568,2011,2014
,UF0L-51-150A,"LAMP(R),RR COMB. *",Ford,EVEREST,UF0L-51-150A,1,6.974554279778634,9.175010899162118,0.7632060447347673,2011,2014
7.0,UF6A-69-180,"MIRROR(L),DOOR",Ford,EVEREST,UF6A-69-180,1,2.2576536229875988,5.139201038113538,0.3125329350140288,2011,2014
,UF6A-69-120,MIRROR REAR VIEW RH,Ford,EVEREST,UF6A-69-120,1,10.929258834125632,12.189056694968013,1.2396772823775015,2011,2014
8.0,UF6B-69-180A,SIDE MIRROR ASSY LH,Ford,EVEREST,UF6B-69-180A,1,1.043723951502617,2.0149399795550105,0.0152427229155107,2014,2014
,UF6B-69-120,MIRROR REAR VIEW RH,Ford,EVEREST,UF6B-69-120,1,4.205741418615866,1.9766950913930852,0.8887190010373668,2011,2014
9.0,UE4T-56-141,GUARD ASSY MUD LH,Ford,EVEREST,UE4T-56-141,1,2.66358916048984,13.957566391193115,2.9139360613328478,2011,2014
,UE4T-56-131,GUARD ASSY MUD RH,Ford,EVEREST,UE4T-56-131,1,6.785941859116268,22.27617284888424,0.448407787575253,2011,2014
10.0,UF0L-62-020,DOOR ASSY LIFTGATE,Ford,EVEREST,UF0L-62-020,1,12.223254534276924,1.4430301917599169,0.407144507207585,2011,2014
11.0,UR61-38-812A,ENGIND UNDDER COVER,Ford,EVEREST,UR61-38-812A,1,1.4454610228230034,24.241258012187856,0.1428206149792426,2011,2014
12.0,UB2C-61-480D,CONDENSER ASSY,Ford,EVEREST,UB2C-61-480D,1,4.961020521381068,4.019301619074235,0.1310567937345765,2011,2014
13.0,WL81-15-350D,RADIATOR RESERVE TANK,Ford,EVEREST,WL81-15-350D,1,0.7034823279813971,0.8528877085621402,0.7411846939340551,2011,2014
14.0,UR56-67-480A,"TANK,WASHER-FRONT",Ford,EVEREST,UR56-67-480A,1,2.1574513542589324,12.59597914797108,1.2936100170040363,2011,2014
